,avg_sales
0,101000.0
1,89000.0
2,71500.0
3,65500.0
4,70000.0
5,62000.0
6,88000.0
7,57000.0
8,50000.0
9,49500.0
10,66500.0
11,70000.0
12,68500.0
13,56000.0
14,75500.0
15,58000.0
16,60500.0
17,65000.0
18,61000.0
19,70500.0
20,43500.0
21,45000.0
22,50000.0
23,62000.0
24,48000.0
25,53000.0
26,39000.0
27,63500.0
28,58500.0
29,46000.0
30,60000.0
31,57500.0
32,58000.0
33,61000.0
34,61500.0
35,67500.0
36,50500.0
37,37500.0
38,66000.0
39,64500.0
40,65000.0
41,48000.0
42,80000.0
43,48000.0
44,55500.0
45,55000.0
46,43500.0
47,74000.0
48,47500.0
49,63000.0
50,59000.0
51,44000.0
52,58500.0
53,59500.0
54,46500.0
55,39000.0
56,56500.0
57,63000.0
58,64500.0
59,79000.0
60,63500.0
61,71000.0
62,119000.0
63,64500.0
64,
65,60500.0
66,64000.0
67,67500.0
68,73000.0
69,50000.0
70,49000.0
71,76500.0
72,53000.0
73,56000.0
74,105000.0
75,92500.0
76,41000.0
77,36000.0
78,58000.0
79,9600.0
80,30000.0
81,84500.0
82,68500.0
83,42500.0
84,98000.0
85,102000.0
86,54500.0
87,76000.0
88,48500.0
89,57000.0
90,82500.0
91,48000.0
92,79500.0
93,73500.0
94,58500.0
95,62500.0
96,87000.0
97,109000.0
98,95500.0
99,53000.0
100,104000.0
101,62000.0
102,86500.0
103,77000.0
104,41500.0
105,140000.0
106,79000.0
107,58000.0
108,49500.0
109,43500.0
110,75000.0
111,79000.0
112,61000.0
113,68500.0
114,51500.0
115,65500.0
116,123000.0
117,94000.0
118,65500.0
119,77000.0
120,65500.0
121,145000.0
122,57500.0
123,61000.0
124,81000.0
125,130000.0
126,42000.0
127,63000.0
128,110000.0
129,45000.0
130,105000.0
131,69500.0
132,84500.0
133,68000.0
134,83500.0
135,44000.0
136,65000.0
137,89500.0
138,67000.0
139,49000.0
140,57000.0
141,68500.0
142,42500.0
143,51000.0
144,71500.0
145,49000.0
146,73500.0
147,56500.0
148,141000.0
149,69500.0
150,71000.0
151,70000.0
152,80000.0
153,73500.0
154,61500.0
155,62500.0
156,48000.0
157,65500.0
158,77000.0
159,9000.0
160,78500.0
161,96000.0
162,92000.0
163,58000.0
164,67500.0
165,48500.0
166,66500.0
167,45000.0
168,49000.0
169,85500.0
170,53500.0
171,64000.0
172,73500.0
173,77500.0
174,73000.0
175,76500.0
176,82500.0
177,131000.0
178,79500.0
179,75500.0
180,41000.0
181,66000.0
182,64500.0
183,71000.0
184,46000.0
185,65000.0
186,74500.0
187,62500.0
188,60500.0
189,65000.0
190,86500.0
191,63500.0
192,49000.0
193,25500.0
194,77500.0
195,77500.0
196,78500.0
197,77500.0
198,72000.0
199,71500.0
200,55000.0
201,70000.0
202,54000.0
203,74500.0
204,
205,58500.0
206,65500.0
207,85000.0
208,63500.0
209,72500.0
210,95500.0
211,71500.0
212,73500.0
213,99000.0
214,38500.0
215,77000.0
216,61000.0
217,104000.0
218,46000.0
219,64000.0
220,68000.0
221,90000.0
222,50000.0
223,97000.0
224,56500.0
225,80000.0
226,61500.0
227,42000.0
228,56000.0
229,78000.0
230,69500.0
231,49500.0
232,
233,73500.0
234,59500.0
235,63500.0
236,73500.0
237,90500.0
238,51500.0
239,113000.0
240,75000.0
241,90000.0
242,70500.0
243,45000.0
244,79000.0
245,77500.0
246,62000.0
247,64000.0
248,52000.0
249,98500.0
250,76000.0
251,53500.0
252,72500.0
253,77000.0
254,88000.0
255,52000.0
256,58000.0
257,73000.0
258,90000.0
259,55000.0
260,88500.0
261,105000.0
262,68500.0
263,77500.0
264,76500.0
