,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,distance_hospital,distance_library,distance_school,distance_eq_shelter,distance_fire_station,crime,cctv
0,2766,37.68160372,127.0565917,492,200006,4.3,139,42,96160.0,99200.0,97600.0,노원구,103.54794290312319,530.7786208077772,4762.56681936444,3660.3538836165244,235.63122773904868,345.34825477743726,249.675580802245,5002.132089123569,3743,2415
1,5860,37.6792898,127.0570207,468,200105,4.1,105,32,77760.0,83520.0,81600.0,노원구,111.44057511241296,302.5749072009173,4503.356468895152,3400.3209513026086,194.77528237067892,601.7856054969882,484.0653907191496,4743.837209807438,3743,2415
2,15564,37.67688187,127.0580753,57,200502,4.8,86,26,57600.0,73600.0,64800.0,노원구,185.24226730346575,246.5220499044,4221.650798563033,3123.1159235133796,435.6017293694898,367.1724127734034,402.98493043246117,4461.166087735813,3743,2415
3,3700,37.67527716,127.0600011,216,199509,4.8,102,31,54400.0,55680.0,55200.0,노원구,90.50161056228697,455.4023968266289,4012.3439813927266,2930.0965105558366,583.2581622405459,231.4750229008476,272.79126151204576,4246.701551256829,3743,2415
4,6204,37.67638079,127.0583606,165,200306,4.8,91,28,44640.0,80480.0,64000.0,노원구,211.98188317286662,278.6937899678053,4161.7981911081515,3064.935356870526,494.9399965280868,310.0457671991964,347.1864756146553,4400.869947073476,3743,2415
5,3697,37.67735438,127.0572686,299,200004,4.4,84,25,46720.0,62400.0,55200.0,노원구,134.92721424987846,181.22340531231356,4288.885305937828,3184.1299774505096,350.7720388920508,431.0192412103533,463.18303785323917,4530.568563080482,3743,2415
6,19203,37.67659042,127.0571138,45,200905,4.0,126,38,58400.0,103360.0,100800.0,노원구,100.05066309670089,166.54704764723718,4209.567405862955,3101.9031295865557,416.48810886215466,353.5155927287884,383.2923702211685,4452.581753901244,3743,2415
7,3699,37.67383553,127.0601315,290,199704,3.9,84,25,38880.0,64640.0,49600.0,노원구,107.67441639185556,549.7649358580259,3852.803801875597,2769.388028352947,446.37937526276903,150.03764090661613,178.59713883639017,4088.163029204872,3743,2415
8,948,37.68109689,127.0537572,1391,199811,4.0,54,16,27360.0,42560.0,37600.0,노원구,222.80961489689233,480.5687571949295,4769.867434413354,3646.8069051725656,167.7887645331279,399.06543170901887,244.53947681626204,5018.037055671357,3743,2415
9,15206,37.67996178,127.053507,1313,199810,4.0,53,16,25280.0,41600.0,36000.0,노원구,110.88999927952972,369.74987567012056,4654.848071926027,3527.99125926603,100.56019123348067,526.133994405311,371.9357322242275,4904.90677861628,3743,2415
