,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구
0,2766,37.68160372,127.0565917,492,200006,4.3,139,42,96160.0,99200.0,97600.0,노원구
1,5860,37.6792898,127.0570207,468,200105,4.1,105,32,77760.0,83520.0,81600.0,노원구
2,15564,37.67688187,127.0580753,57,200502,4.8,86,26,57600.0,73600.0,64800.0,노원구
3,3700,37.67527716,127.0600011,216,199509,4.8,102,31,54400.0,55680.0,55200.0,노원구
4,6204,37.67638079,127.0583606,165,200306,4.8,91,28,44640.0,80480.0,64000.0,노원구
5,3697,37.67735438,127.0572686,299,200004,4.4,84,25,46720.0,62400.0,55200.0,노원구
6,19203,37.67659042,127.0571138,45,200905,4.0,126,38,58400.0,103360.0,100800.0,노원구
7,3699,37.67383553,127.0601315,290,199704,3.9,84,25,38880.0,64640.0,49600.0,노원구
8,948,37.68109689,127.0537572,1391,199811,4.0,54,16,27360.0,42560.0,37600.0,노원구
9,15206,37.67996178,127.053507,1313,199810,4.0,53,16,25280.0,41600.0,36000.0,노원구
10,19851,37.6860596,127.053443,548,200911,3.8,79,24,59040.0,65920.0,64000.0,노원구
11,10023,37.67461549,127.0570851,100,200411,4.5,90,27,54400.0,74880.0,71200.0,노원구
12,19850,37.68747591,127.0535532,696,200911,3.6,110,33,61920.0,64320.0,63200.0,노원구
13,3702,37.67298548,127.0592013,397,199510,4.1,102,31,49120.0,49760.0,49600.0,노원구
14,6705,37.67458711,127.0561375,175,200411,4.8,103,31,68000.0,72000.0,68800.0,노원구
15,2808,37.67738514,127.0531469,763,199410,3.7,59,18,22080.0,66400.0,48000.0,노원구
16,21230,37.68437059,127.0507213,139,200212,3.4,109,33,53600.0,55040.0,54400.0,도봉구
17,3701,37.67197755,127.0568201,274,200006,4.0,76,23,53440.0,66400.0,61600.0,노원구
18,22483,37.6761026,127.0521167,30,200402,4.0,48,15,16800.0,41440.0,33600.0,노원구
19,13915,37.67701829,127.0514644,95,200205,3.7,76,23,39360.0,39840.0,39200.0,노원구
20,118,37.68252225,127.0496181,205,199112,3.8,101,31,44480.0,44960.0,44800.0,도봉구
21,10246,37.68327911,127.0495279,147,200506,3.6,106,32,50240.0,50240.0,50400.0,도봉구
22,14961,37.67117728,127.0572321,34,199711,0.0,97,29,56160.0,60800.0,58400.0,노원구
23,932,37.6820521,127.049177,286,199011,4.5,104,31,43840.0,43840.0,44000.0,도봉구
24,5404,37.67812903,127.0497512,159,199909,4.4,84,25,44960.0,45600.0,44800.0,도봉구
25,577,37.68105939,127.0488462,660,198710,3.9,97,29,37440.0,42400.0,39200.0,도봉구
26,1021,37.6696098,127.05856,2265,198904,3.8,58,18,21760.0,62560.0,30400.0,노원구
27,2763,37.67195965,127.0812493,240,200606,3.8,85,26,31040.0,39040.0,34400.0,노원구
28,26666,37.6744955,127.0515579,37,199901,0.0,91,28,28000.0,76000.0,43200.0,노원구
29,2806,37.66740214,127.0675208,385,199506,4.1,84,25,35200.0,52800.0,48800.0,노원구
30,2804,37.67289123,127.0527628,331,199304,4.1,102,31,45920.0,45920.0,45600.0,노원구
31,6054,37.6748187,127.050927,230,200207,4.1,81,25,40480.0,89920.0,51200.0,노원구
32,4366,37.66728607,127.0688173,230,199505,4.0,102,31,55200.0,56320.0,55200.0,노원구
33,9948,37.687633,127.0486601,200,200212,4.7,106,32,52480.0,54240.0,53600.0,도봉구
34,2840,37.66737208,127.0632409,939,198904,3.8,58,18,21760.0,33920.0,28000.0,노원구
35,2762,37.67443471,127.0504651,105,199602,3.4,74,22,32000.0,59040.0,40000.0,노원구
36,1437,37.67163697,127.052966,494,199904,3.7,102,31,53280.0,54720.0,54400.0,노원구
37,1284,37.6866928,127.047548,2678,199509,3.9,95,29,42720.0,50720.0,49600.0,도봉구
38,7543,37.68472527,127.0471209,141,200410,3.7,100,30,48000.0,54080.0,53600.0,도봉구
39,58188,37.6686747,127.0781537,87,200311,0.0,74,22,43520.0,51840.0,48000.0,노원구
40,6012,37.68151787,127.0469012,526,200303,4.3,113,34,52800.0,83360.0,64000.0,도봉구
41,6702,37.67224298,127.0517196,142,199610,4.3,79,24,42240.0,47360.0,44800.0,노원구
42,5536,37.66629212,127.0675379,348,199005,4.1,83,25,38880.0,41760.0,40800.0,노원구
43,1445,37.67310837,127.0507045,106,199507,5.0,102,31,38400.0,38400.0,38400.0,노원구
44,2892,37.66608244,127.0686666,420,198703,4.3,63,19,27200.0,59520.0,36000.0,노원구
45,9155,37.67962237,127.0465237,448,200502,3.8,79,24,52800.0,65120.0,59200.0,도봉구
46,3734,37.67626306,127.0476642,190,199812,3.4,81,25,30240.0,71200.0,44800.0,도봉구
47,12106,37.6713926,127.0513971,117,200207,4.3,105,32,45440.0,45440.0,45600.0,노원구
48,2805,37.67227599,127.0504093,465,199312,3.7,85,26,47840.0,48960.0,48000.0,노원구
49,12370,37.66776924,127.0798574,42,200201,3.5,92,28,40000.0,56000.0,40800.0,노원구
50,20215,37.6745512,127.0476767,80,201012,4.5,108,33,45440.0,55840.0,48000.0,도봉구
51,2811,37.6661668,127.0593183,1739,198810,3.9,58,18,24320.0,54720.0,33600.0,노원구
52,5535,37.66477818,127.0680443,471,198805,3.6,64,19,24640.0,39360.0,32000.0,노원구
53,2946,37.67343742,127.0480841,2450,199610,3.7,56,17,24160.0,29760.0,28000.0,도봉구
54,2841,37.66915781,127.0525568,2392,198809,3.9,63,19,25440.0,59840.0,34400.0,노원구
55,2803,37.66695847,127.0796888,673,199911,3.7,83,25,40640.0,80960.0,54400.0,노원구
56,1388,37.6678293,127.0816166,826,199912,3.5,81,25,35840.0,85440.0,53600.0,노원구
57,38231,37.66514587,127.0747833,810,202001,0.0,64,19,57600.0,134400.0,73600.0,노원구
58,5534,37.6643673,127.064908,3315,198806,4.0,45,14,24640.0,54560.0,40800.0,노원구
59,10455,37.66590978,127.0796152,234,200106,4.6,106,32,57600.0,57600.0,57600.0,노원구
60,50365,37.6639767,127.062301,1062,202011,0.0,67,20,72000.0,152000.0,106400.0,노원구
61,2810,37.66582974,127.0558226,1944,198809,3.9,58,18,24320.0,56480.0,37600.0,노원구
62,2765,37.66341186,127.0747163,675,198908,3.8,81,25,40320.0,55200.0,46400.0,노원구
63,2875,37.663338,127.060499,2830,198810,3.8,58,18,24160.0,52960.0,35200.0,노원구
64,2809,37.6639118,127.057042,2654,198809,4.0,52,16,24640.0,45760.0,33600.0,노원구
65,3698,37.66344618,127.0773956,634,200003,3.8,84,25,42240.0,66560.0,56000.0,노원구
66,10454,37.66311744,127.078574,602,200106,4.1,70,21,32320.0,41280.0,36000.0,노원구
67,2768,37.66168656,127.0731642,1590,198905,3.5,52,16,19040.0,51680.0,32800.0,노원구
68,6118,37.66214571,127.0765466,299,200212,4.2,82,25,52800.0,99840.0,73600.0,노원구
69,2941,37.66125635,127.0752899,167,199507,4.2,79,24,32800.0,65280.0,58400.0,노원구
70,13922,37.66143963,127.0761106,120,199807,4.3,79,24,35360.0,71680.0,48000.0,노원구
71,6013,37.66694346,127.0473363,603,200210,4.5,122,37,76160.0,85280.0,80800.0,도봉구
72,5692,37.6650763,127.0481467,1278,200110,4.5,80,24,56320.0,127680.0,76800.0,도봉구
73,69197,37.6625134,127.04596,33,200801,0.0,73,22,31200.0,40800.0,36800.0,도봉구
74,17235,37.63799288,127.0242549,42,200511,3.7,111,34,17600.0,17600.0,17600.0,강북구
75,17018,37.63778389,127.0240419,34,200508,4.0,107,32,69600.0,69600.0,69600.0,강북구
76,24572,37.63839332,127.022193,38,201301,0.0,76,23,36000.0,72640.0,50400.0,강북구
77,9151,37.63867342,127.0270378,121,200504,4.2,52,16,28000.0,104800.0,60000.0,강북구
78,460,37.64237983,127.0189899,1454,199311,3.6,84,25,39360.0,64480.0,53600.0,강북구
79,5864,37.63345491,127.0270132,123,200507,3.0,76,23,44800.0,47360.0,46400.0,강북구
