id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
2766,37.68160372,127.0565917,492,200006,4.3,139,42,96160,99200,97600
5860,37.6792898,127.0570207,468,200105,4.1,105,32,77760,83520,81600
15564,37.67688187,127.0580753,57,200502,4.8,86,26,57600,73600,64800
3700,37.67527716,127.0600011,216,199509,4.8,102,31,54400,55680,55200
6204,37.67638079,127.0583606,165,200306,4.8,91,28,44640,80480,64000
3697,37.67735438,127.0572686,299,200004,4.4,84,25,46720,62400,55200
19203,37.67659042,127.0571138,45,200905,4,126,38,58400,103360,100800
3699,37.67383553,127.0601315,290,199704,3.9,84,25,38880,64640,49600
948,37.68109689,127.0537572,1391,199811,4,54,16,27360,42560,37600
15206,37.67996178,127.053507,1313,199810,4,53,16,25280,41600,36000
19851,37.6860596,127.053443,548,200911,3.8,79,24,59040,65920,64000
10023,37.67461549,127.0570851,100,200411,4.5,90,27,54400,74880,71200
19850,37.68747591,127.0535532,696,200911,3.6,110,33,61920,64320,63200
3702,37.67298548,127.0592013,397,199510,4.1,102,31,49120,49760,49600
6705,37.67458711,127.0561375,175,200411,4.8,103,31,68000,72000,68800
2808,37.67738514,127.0531469,763,199410,3.7,59,18,22080,66400,48000
19849,37.69001654,127.0538271,473,200908,4.4,75,23,38560,62560,45600
21230,37.68437059,127.0507213,139,200212,3.4,109,33,53600,55040,54400
19848,37.68969289,127.0522714,680,200908,4,78,24,38880,65440,47200
3701,37.67197755,127.0568201,274,200006,4,76,23,53440,66400,61600
22483,37.6761026,127.0521167,30,200402,4,48,15,16800,41440,33600
13915,37.67701829,127.0514644,95,200205,3.7,76,23,39360,39840,39200
118,37.68252225,127.0496181,205,199112,3.8,101,31,44480,44960,44800
10246,37.68327911,127.0495279,147,200506,3.6,106,32,50240,50240,50400
14961,37.67117728,127.0572321,34,199711,0,97,29,56160,60800,58400
932,37.6820521,127.049177,286,199011,4.5,104,31,43840,43840,44000
5404,37.67812903,127.0497512,159,199909,4.4,84,25,44960,45600,44800
577,37.68105939,127.0488462,660,198710,3.9,97,29,37440,42400,39200
1021,37.6696098,127.05856,2265,198904,3.8,58,18,21760,62560,30400
