시군구명,시설명,상세주소,경도,위도
용산구,용산공업고등학교,서울특별시 용산구  서빙고로 24  (한강로3가),126.967082,37.524409
강북구,상산공원,서울특별시 강북구 수유동   224-4,127.021805,37.638326
종로구,중앙고등학교,서울특별시 종로구 계동   1-0,126.987035,37.584897
관악구,신관중학교 운동장,서울특별시 관악구 신림동   87-81,126.934573,37.480282
구로구,개명초등학교운동장,서울특별시 구로구 개봉동   314-165,126.850698,37.483005
서초구,세화여자고등학교,서울특별시 서초구 반포동   753,126.991801,37.501613
도봉구,새동네어린이공원,서울특별시 도봉구 도봉동   289-5,127.043216,37.688949
강동구,천일초등학교운동장,서울특별시 강동구 천호동   217-70,127.13332,37.544051
송파구,서울중대초등학교,서울특별시 송파구  송파대로36길 8  (송파동),127.11371,37.500104
광진구,동의초등학교 운동장 ,서울특별시 광진구 구의동   4-5,127.09879,37.553542
성북구,개운중학교,서울특별시 성북구  북악산로 935  (돈암동),127.02485,37.594604
강서구,개화초등학교운동장,서울특별시 강서구 방화제1동 501,126.804433,37.573494
마포구,합정동보호수 정자마당,서울특별시 마포구 합정동   450-6,126.903347,37.551635
은평구,응암공원,서울특별시 은평구 응암동   85-41,126.923566,37.601714
금천구,문교초등학교,서울특별시 금천구  독산로54길 102  (독산동),126.908684,37.466393
양천구,한두어린이공원,서울특별시 양천구 목동   611-1,126.866873,37.548683
동대문구,경희여자고등학교,서울특별시 동대문구 회기동   1-5,127.051131,37.594822
마포구,경성고등학교,서울특별시 마포구 연남동 111,126.918785,37.56325
용산구,후암동 성당 공터,서울특별시 용산구 후암동   38-3,126.97826,37.551976
송파구,아주중학교 운동장,서울특별시 송파구 잠실동   115,127.076029,37.505121
양천구,달마을근린공원,서울특별시 양천구 목동   904-5,126.869084,37.542771
강서구,방화중학교 운동장,서울특별시 강서구 방화동   636-1,126.806867,37.565116
동대문구,청량초등학교,서울특별시 동대문구 회기동   1-1,127.055356,37.592063
은평구,연은초등학교 운동장,서울특별시 은평구 응암동   242-424,126.925128,37.590425
관악구,해태어린이공원,서울특별시 관악구 신림동   103-141,126.9406,37.472501
마포구,서울중동초등학교,서울특별시 마포구  월드컵북로 152  (성산동),126.911345,37.566644
용산구,보성여고 운동장,서울특별시 용산구 용산동2가   1-1123,126.984529,37.542749
광진구,용곡중학교 운동장 ,서울특별시 광진구 중곡동   176-77,127.08896,35.566171
도봉구,해태어린이공원,서울특별시 도봉구 도봉동   614-37,127.04119,37.672003
종로구,대동세무고등학교,서울특별시 종로구 계동   35-0,126.987303,37.58192
마포구,옹달샘어린이공원,서울특별시 마포구 망원동   408-3,126.902101,37.555075
구로구,서울매봉초등학교운동장,서울특별시 구로구 개봉동   3,126.844575,37.504402
강북구,솔밭근린공원,서울특별시 강북구 우이동   80,127.011675,37.652864
용산구,신용산초등학교,서울특별시 용산구  이촌로 255  (이촌동),126.975897,37.520011
관악구,국지어린이공원,서울특별시 관악구 봉천동   635-429,126.94067,37.490039
강남구,신구초등학교,서울특별시 강남구  압구정로18길 28  (신사동),127.023938,37.523355
성북구,안암초등학교,서울특별시 성북구  인촌로7가길 39  (안암동2가),127.022671,37.587227
송파구,잠신고등학교 운동장,서울특별시 송파구 잠실동   22-2,127.088987,37.515116
금천구,가산중학교,서울특별시 금천구  시흥대로115길 48  (독산동),126.894362,37.468378
용산구,용산2가동 마을마당(공원),서울특별시 용산구 용산동2가   5-1647,126.988838,37.543593
광진구,구의초등학교 운동장,서울특별시 광진구 화양동   303-9,127.078745,37.543092
서대문구,홍연초등학교 체육관,서울특별시 서대문구  백련사길 55  (홍은동),126.931055,37.581708
은평구,서울응암초등학교 운동장 ,서울특별시 은평구 응암동   산7-40,126.921598,37.588683
마포구,망원새싹어린이공원,서울특별시 마포구 망원동   509-1,126.898488,37.559183
관악구,서울은천초등학교 운동장,서울특별시 관악구 봉천동   622-1,126.942865,37.486884
송파구,신천중학교 운동장,서울특별시 송파구 잠실동   19-4,127.078469,37.515996
동대문구,삼육초등학교,서울특별시 동대문구 회기동   102-48,127.047812,37.58915
금천구,독산초등학교,서울특별시 금천구  시흥대로104길 31  (독산동),126.90006,37.46523
강남구,신사문화센터,서울특별시 강남구  압구정로 128  (신사동),127.022793,37.52398
노원구,선곡초등학교 운동장,서울특별시 노원구 월계동   446-0,127.05777,37.618332
강서구,방화근린공원,서울특별시 강서구 방화동   855-0,126.81413,37.580907
구로구,개봉중학교운동장,서울특별시 구로구 개봉동   24-2,126.842049,37.502684
강북구,우이제일교회 공터,서울특별시 강북구 우이동   137-0,127.00975,37.659922
종로구,청진공원,서울특별시 종로구 청진동   177-0,126.979878,37.571361
관악구,난곡초등학교 운동장,서울특별시 관악구 신림동   711-136,126.917172,37.469373
양천구,강서고등학교 운동장,서울특별시 양천구 목동   735-0,126.866366,37.53649
용산구,이태원초등학교,서울특별시 용산구  녹사평대로40길 19  (이태원동),126.988025,37.535867
성북구,청덕초등학교,서울특별시 성북구  정릉로9라길 11  (정릉동),127.00046,37.611896
종로구,운현초등학교,서울특별시 종로구 운니동   114-7,126.988142,37.575716
관악구,미림여자고등학교 운동장,서울특별시 관악구 신림동   1557-1,126.932743,37.466793
성북구,삼선중학교(운동장),서울특별시 성북구 동소문동4가   278-174,127.008558,37.591631
서대문구,홍제초등학교,서울특별시 서대문구  홍은중앙로 13  (홍은동),126.944641,37.593062
용산구,용산2가동 마을휴식공간,서울특별시 용산구 용산동2가   1-1923,126.984404,37.545031
노원구,한내근린공원,서울특별시 노원구 월계동   1-1,127.06942,37.622104
구로구,고척근린공원,서울특별시 구로구 개봉동   1-13,126.844215,37.50523
용산구,용산구청,서울특별시 용산구  녹사평대로 150  (이태원동),126.990119,37.532512
양천구,정목초등학교 운동장,서울특별시 양천구 목동   757-1,126.870321,37.537058
관악구,선봉어린이공원,서울특별시 관악구 봉천동   942-29,126.939633,37.48514
강남구,논현1문화센터,서울특별시 강남구  학동로20길 25  (논현동),127.028512,37.511501
송파구,정신여자고등학교 운동장,서울특별시 송파구 잠실동   50-4,127.072597,37.509586
영등포구,도림초등학교,서울특별시 영등포구  가마산로65길 22  (신길동),126.907444,37.508095
구로구,서울신미림초등학교운동장,서울특별시 구로구 신도림동   398-1,126.879388,37.506645
동대문구,휘경공업고등학교,서울특별시 동대문구 휘경동   49-327,127.069797,37.585019
은평구,충암초중고등학교 운동장,서울특별시 은평구 응암동   272-113,126.92244,37.585471
성북구,길음초등학교,서울특별시 성북구  길음로 142  (길음동),127.017672,37.614036
광진구,구의중학교 운동장,서울특별시 광진구 화양동   303-18,127.078745,37.543092
마포구,성미산근린공원,서울특별시 마포구 성산동   산11-61,126.91492,37.561245
구로구,신도림중학교운동장,서울특별시 구로구 신도림동   311-1,126.88524,37.510519
영등포구,서울영원초등학교,서울특별시 영등포구  도영로22길 31  (영등포동),126.9022,37.510897
강남구,학동초등학교,서울특별시 강남구  선릉로115길 42  (논현동),127.039431,37.512058
관악구,중앙어린이공원,서울특별시 관악구 봉천동   890-1,126.948283,37.484489
송파구,서울잠신초등학교 운동장,서울특별시 송파구 잠실동   22-4,127.088199,37.513974
용산구,한남동공영주차장건물내 교육장 등,서울특별시 용산구  이태원로 224-19  (한남동),126.997468,37.539158
종로구,교동초등학교,서울특별시 종로구 경운동   2-0,126.9879,37.57523
관악구,새숲어린이공원,서울특별시 관악구 신림동   539-14,126.913093,37.482401
구로구,개봉초등학교운동장,서울특별시 구로구 개봉동   266-0,126.858389,37.489406
용산구,소월길 주민쉼터(공원),서울특별시 용산구 용산동2가   5-1414,126.983808,37.546276
노원구,광운전자공업고등학교 운동장,서울특별시 노원구 월계동   500-0,127.055991,37.619902
성북구,정덕초등학교(운동장),서울특별시 성북구 동소문동7가   118-1,127.013831,37.597833
마포구,외주목어린이공원,서울특별시 마포구 성산동   587-16,126.907752,37.56282
도봉구,창일중학교 운동장,서울특별시 도봉구 창동   369,127.04689,37.648626
양천구,신목중학교 운동장,서울특별시 양천구 목동   743-15,126.872855,37.536861
광진구,장안초등학교 운동장,서울특별시 광진구 군자동   365-0,127.072319,37.550278
영등포구,영등포초등학교 운동장,서울특별시 영등포구 문래동1가   35-2,126.898365,37.512783
동대문구,보림어린이공원,서울특별시 동대문구 휘경동   179-9,127.061394,37.592488
은평구,은평다목적체육관,서울특별시 은평구  진관1로 52  (진관동),126.924827,37.631248
은평구,서문교회 주차장,서울특별시 은평구 응암동   577-57,126.91672,37.591537
성북구,길음중학교,서울특별시 성북구  길음로 144  (길음동),127.017091,37.61442
용산구,새꿈어린이공원,서울특별시 용산구 동자동   8-1,126.974352,37.552439
노원구,신계초등학교 운동장,서울특별시 노원구 월계동   602-0,127.052563,37.62992
관악구,신봉초등학교 운동장,서울특별시 관악구 봉천동   458-0,126.949023,37.485438
강남구,논현2문화센터,서울특별시 강남구  학동로43길 17  (논현동),127.03705,37.517374
종로구,탑골공원,서울특별시 종로구 종로2가   38-1,126.988362,37.571409
마포구,다솜어린이공원,서울특별시 마포구 성산동   113-2,126.915358,37.562412
도봉구,창동고등학교 운동장,서울특별시 도봉구 창동   694-10,127.0386,37.650801
관악구,남부어린이공원,서울특별시 관악구 신림동   483-14,126.920548,37.485054
구로구,신도림초등학교운동장,서울특별시 구로구 신도림동   300-6,126.88303,37.512202
성북구,숭인초등학교,서울특별시 성북구  오패산로16길 37  (하월곡동),127.038406,37.608936
은평구,은평문화예술정보학교 운동장,서울특별시 은평구 응암동   334-12,126.919358,37.589518
광진구,세종초등학교 운동장,서울특별시 광진구 군자동   98-0,127.073,37.55286
영등포구,양화중학교 운동장,서울특별시 영등포구 문래동3가   48-0,126.896358,37.51953
동대문구,휘봉초등학교,서울특별시 동대문구 휘경동   49-27,127.070258,37.585887
영등포구,영등포여자고등학교,서울특별시 영등포구  영등포로62길 13  (신길동),126.915101,37.515371
구로구,오류초등학교운동장,서울특별시 구로구 오류동   15,126.84212,37.497806
송파구,영동일고등학교 운동장,서울특별시 송파구 잠실동   35-1,127.08977,37.509962
