학교명,위도,경도,구
서울양동초등학교,37.52584826,126.8512402,양천구
서울신구초등학교,37.52336057,127.0239924,강남구
서울봉화초등학교,37.61357623,127.0924085,중랑구
서울중화초등학교,37.60292163,127.094065,중랑구
서울상월초등학교,37.65865224,127.05698,노원구
서울중목초등학교,37.59008735,127.0793361,중랑구
서울동작초등학교,37.49410161,126.9765088,동작구
서울갈산초등학교,37.51237157,126.8702299,양천구
서울태랑초등학교,37.62625056,127.0906031,노원구
서울한천초등학교,37.62070936,127.0692435,노원구
서울영림초등학교,37.48734601,126.9025393,영등포구
서울평화초등학교,37.49156712,127.1228237,송파구
서울양원초등학교,37.53821733,126.8231052,양천구
서울송례초등학교,37.4778913,127.1384402,송파구
서울상봉초등학교,37.59797895,127.0831714,중랑구
서울원광초등학교,37.65431092,127.0749143,노원구
서울월계초등학교,37.62762424,127.0501876,노원구
서울강남초등학교,37.50619275,126.9533591,동작구
서울반포초등학교,37.50248483,126.9917416,서초구
서울가원초등학교,37.48944215,127.1110274,송파구
서울면동초등학교,37.58535152,127.0865922,중랑구
서울원촌초등학교,37.50618948,127.0125656,서초구
상명대학교사범대학부속초등학교,37.60044056,126.9567149,종로구
서울신곡초등학교,37.53909546,126.8560096,강서구
서울불광초등학교,37.61342945,126.9307187,은평구
서울자곡초등학교,37.47219072,127.0996665,강남구
서울명신초등학교,37.58146865,127.0146229,종로구
서울서원초등학교,37.5024389,127.0146195,서초구
서울신성초등학교,37.47200331,126.9367542,관악구
서울신내초등학교,37.60493422,127.1001285,중랑구
서울중곡초등학교,37.57489173,127.083439,중랑구
서울전농초등학교,37.57473032,127.0543331,동대문구
서울논현초등학교,37.5084232,127.0262229,강남구
서울구룡초등학교,37.48119739,127.0517714,강남구
서울독립문초등학교,37.57421553,126.9599722,종로구
서울공진초등학교,37.55780477,126.8226104,강서구
서울영화초등학교,37.50890811,126.9329736,동작구
서울잠실초등학교,37.52010753,127.1113114,송파구
서울한남초등학교,37.53920365,127.0055999,용산구
서울잠일초등학교,37.51474166,127.0816362,송파구
서울마천초등학교,37.49550545,127.1526295,송파구
서울가주초등학교,37.49656722,127.1292617,송파구
서울원묵초등학교,37.61774881,127.0868142,중랑구
서울오금초등학교,37.50886634,127.1323312,송파구
서울안천초등학교,37.45874564,126.88839,금천구
서울정곡초등학교,37.57695491,126.8189328,강서구
서울대곡초등학교,37.49471064,127.0650265,강남구
서울오륜초등학교,37.51242411,127.1345763,송파구
서울개명초등학교,37.48303904,126.8509791,구로구
서울신강초등학교,37.52584419,126.8422639,양천구
서울가산초등학교,37.47816515,126.8963297,금천구
서울장평초등학교,37.57399502,127.073891,동대문구
서울대진초등학교,37.49701211,127.0780425,강남구
서울신길초등학교,37.51087166,126.9267293,동작구
서울영도초등학교,37.53596257,126.871927,양천구
서울미래초등학교,37.50510665,126.8880137,구로구
서울월촌초등학교,37.54069543,126.876258,양천구
서울은정초등학교,37.51112797,126.8670435,양천구
서울가동초등학교,37.49741227,127.1300159,송파구
서울신방학초등학교,37.66668425,127.0289181,도봉구
서울신상계초등학교,37.66751783,127.0758263,노원구
서울우장초등학교,37.54963819,126.8459842,강서구
서울연촌초등학교,37.63441465,127.0725113,노원구
