연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표
1,1116000,관악소방서,소방서, ,1100000,43,195785.5015,541613.1799
2,1114103,영동119안전센터,안전센터/구조대, ,1114000,44,203265.8115,546962.3998
3,1116401,관악119안전센터,안전센터/구조대, ,1116000,45,195784.8784,541621.2103
4,1119106,시흥119안전센터,안전센터/구조대, ,1119000,46,191196.7211,538802.5714
5,1115102,방배119안전센터,안전센터/구조대, ,1115000,47,198957.096,541787.001
6,1115105,잠원119안전센터,안전센터/구조대, ,1115000,48,201028.564,544400.945
7,1116402,구조대,안전센터/구조대, ,1116000,49,195787.3454,541603.89
8,1116104,난곡119안전센터,안전센터/구조대, ,1116000,50,192577.7092,541810.0213
9,1119105,독산119안전센터,안전센터/구조대, ,1119000,51,190995.0834,540948.6862
10,1103106,신영119안전센터,안전센터/구조대, ,1103000,52,196541.3173,556245.8593
11,1115000,서초소방서,소방서, ,1100000,53,199288.3759,544328.9515
12,1108102,여의도119안전센터,안전센터/구조대, ,1108000,54,193636.4303,546419.5518
13,1106105,서빙고119안전센터,안전센터/구조대, ,1106000,55,199560.7474,546816.0732
14,1115401,반포119안전센터,안전센터/구조대, ,1115000,56,199278.0847,544329.038
15,1115402,구조대,안전센터/구조대, ,1115000,57,199298.7912,544328.2398
16,1119000,구로소방서,소방서, ,1100000,58,188078.719,544268.3602
17,1119102,수궁119안전센터,안전센터/구조대, ,1119000,59,184928.5011,544104.9057
18,1119401,고일119안전센터,안전센터/구조대, ,1119000,60,188088.2403,544276.0834
19,1119103,고척119안전센터,안전센터/구조대, ,1119000,61,187170.2995,545059.5729
20,1119107,신도림119안전센터,안전센터/구조대, ,1119000,62,189498.0332,545329.6416
21,1108104,대림119안전센터,안전센터/구조대, ,1108000,63,191515.0846,544212.2561
22,1119104,구로119안전센터,안전센터/구조대, ,1119000,64,189614.7932,543865.6649
23,1119402,구조대,안전센터/구조대, ,1119000,65,188070.3604,544260.2451
24,1112108,진관119안전센터,안전센터/구조대, ,1112000,66,192920.226,558822.3962
25,1121103,목동119안전센터,안전센터/구조대, ,1121000,67,189711.0972,549259.3062
26,1121102,신정119안전센터,안전센터/구조대, ,1121000,68,186823.7152,546934.9492
27,1115106,우면119안전센터,안전센터/구조대, ,1115000,69,202109.1044,542354.5062
28,1115103,양재119안전센터,안전센터/구조대, ,1115000,70,203613.476,541114.3236
29,1114104,역삼119안전센터,안전센터/구조대, ,1114000,71,203753.1565,544189.6677
30,1114106,개포119안전센터,안전센터/구조대, ,1114000,72,204412.6625,541694.9569
31,1114105,수서119안전센터,안전센터/구조대, ,1114000,73,208212.2316,542833.3439
32,1120104,잠실119안전센터,안전센터/구조대, ,1120000,74,208302.374,545320.129
33,1113000,마포소방서,소방서, ,1100000,75,194095.4147,549987.0805
34,1113102,신수119안전센터,안전센터/구조대, ,1113000,76,194096.0395,549994.8112
35,1123103,홍은119안전센터,안전센터/구조대, ,1123000,77,195326.174,555461.456
36,1113201,구조대,안전센터/구조대, ,1113000,78,194095.1188,549980.7524
37,1113104,서교119안전센터,안전센터/구조대, ,1113000,79,192535.0067,550091.3685
38,1112106,역촌119안전센터,안전센터/구조대, ,1112000,80,192111.0689,556161.097
