관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,관리기관명,전화번호,데이터기준일자
1,우면산,도시자연공원구역,,방배동 산 92-1 일대,37.47,127,"4,117,139.80",서울특별시 서초구청,02-2155-6882,2021-01-25
2,청계산,도시자연공원구역,,원지동 산 4-13일대,37.43,127.04,"3,672,832.20",서울특별시 서초구청,02-2155-6870,2021-01-25
3,인능산,도시자연공원구역,,신원동 산 39-1일대,37.44,127.06,"2,523,493.60",서울특별시 서초구청,02-2155-6869,2021-01-25
4,대모산,도시자연공원구역,,개포동 산 53-22일대,37.47,127.06,"2,201,257.70",서울특별시 서초구청,02-2155-6873,2021-01-25
5,서리풀,도시자연공원구역,,방배동 산24-3일대,37.48,126.99,"82,582.70",서울특별시 서초구청,02-2155-6883,2021-01-25
6,방배,도시자연공원구역,,방배동 686-201일대,37.47,126.99,"172,573.40",서울특별시 서초구청,02-2155-6881,2021-01-25
7,말죽거리,도시자연공원구역,,서초동 산28 일대,37.48,127.03,"220,356.70",서울특별시 서초구청,02-2155-6870,2021-01-25
8,서리풀,근린공원,,방배동 산23-1,37.48,127,"465,938.30",서울특별시 서초구청,02-2155-6883,2021-01-25
9,방배,근린공원,,방배동 산43-7일대,37.47,126.99,"74,847.60",서울특별시 서초구청,02-2155-6881,2021-01-25
10,말죽거리,근린공원,,양재동 산57-34일대,37.48,127.02,"132,020.30",서울특별시 서초구청,02-2155-6870,2021-01-25
11,청계산,근린공원,,원지동 421 일대,37.44,127.05,"19,622.80",서울특별시 서초구청,02-2155-6870,2021-01-25
12,우면산,근린공원,,우면동 71 일대,37.47,127.02,"63,411.20",서울특별시 서초구청,02-2155-6882,2021-01-25
13,인능산,근린공원,,신원동 156-1 일대,37.66,126.88,"49,839.40",서울특별시 서초구청,02-2155-6869,2021-01-25
14,용허리 ,근린공원,,서초동 1324-1 ,37.49,127.02,"4,641.90",서울특별시 서초구청,02-2155-6864,2021-01-25
15,명달 ,근린공원,,서초동 1313-17 ,37.49,127.02,"5,466.40",서울특별시 서초구청,02-2155-6864,2021-01-25
16,사평리 ,근린공원,,잠원동 51-3 외 1 ,37.51,127.01,"1,913.70",서울특별시 서초구청,02-2155-6865,2021-01-25
17,잠원 ,근린공원,,잠원동 62-5 ,37.51,127.01,"2,373.50",서울특별시 서초구청,02-2155-6865,2021-01-25
18,신동 ,근린공원,,잠원동 58-14 외 1 ,37.51,127.01,"6,648.40",서울특별시 서초구청,02-2155-6865,2021-01-25
19,명주 ,근린공원,,잠원동 50-4 ,37.51,127.01,"4,952.60",서울특별시 서초구청,02-2155-6865,2021-01-25
20,세빛,근린공원,,반포동 2-15번지,37.5,126.99,"3,466.10",서울특별시 서초구청,02-2155-6865,2021-01-25
21,원촌,근린공원,,반포동 20-46 외 4,37.49,127,"9,941.70",서울특별시 서초구청,02-2155-6865,2021-01-25
22,반포,근린공원,,반포동 114-3 ,37.49,126.99,"26,092.20",서울특별시 서초구청,02-2155-6865,2021-01-25
23,신반포,근린공원,,반포동 18-5 외 1 ,37.5,127.01,"13,606.80",서울특별시 서초구청,02-2155-6865,2021-01-25
24,서래골 ,근린공원,,반포동 63-2 외 1 ,37.5,127,"4,690.80",서울특별시 서초구청,02-2155-6865,2021-01-25
25,도구머리(산지형),근린공원,,방배동 산75-1외 18,37.47,126.98,"69,578.40",서울특별시 서초구청,02-2155-6878,2021-01-25
26,방배동(산지형),근린공원,,방배동 산102-20 외 2,37.47,126.98,"7,003.00",서울특별시 서초구청,02-2155-6864,2021-01-25
27,방아다리1 ,근린공원,,양재동 62 ,37.47,127.03,"2,870.80",서울특별시 서초구청,02-2155-6896,2021-01-25
28,방아다리2 ,근린공원,,양재동 72 ,37.47,127.03,"2,934.30",서울특별시 서초구청,02-2155-6896,2021-01-25
29,바우뫼(산지형),근린공원,,양재동 105 ,37.47,127.03,"16,386.10",서울특별시 서초구청,02-2155-6896,2021-01-25
30,태봉 ,근린공원,,우면동 694 ,37.46,127.01,"26,555.70",서울특별시 서초구청,02-2155-6896,2021-01-25
31,섬들 ,근린공원,,우면동 729 외 1,37.46,127.02,"15,590.30",서울특별시 서초구청,02-2155-6896,2021-01-25
32,망루 ,근린공원,,우면동 703 외 6,37.46,127.01,"56,497.10",서울특별시 서초구청,02-2155-6896,2021-01-25
33,송동 ,근린공원,,우면동 777 외 3,37.46,127.01,"27,472.80",서울특별시 서초구청,02-2155-6896,2021-01-25
34,양재천 ,근린공원,,양재동 261-22 ,37.47,127.04,"19,258.00",서울특별시 서초구청,02-2155-6896,2021-01-25
