관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.526708,127.021458,6800,,,,,,,,02-3423-6245,2021-07-09
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.49319912,127.0830019,14089.1,,,,,,,,02-3423-6245,2021-07-09
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.489885,127.077436,11410.3,,,,,,,,02-3423-6245,2021-07-09
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180,37.488628,127.064142,11219.2,,,,,,,,02-3423-6245,2021-07-09
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1,37.48970641,127.0682905,9705.6,,,,,,,,02-3423-6245,2021-07-09
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.495123,127.061109,10408.9,,,,,,,,02-3423-6245,2021-07-09
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.489623,127.048394,19812.3,,,,,,,,02-3423-6245,2021-07-09
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9,,,,,,,,02-3423-6245,2021-07-09
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21,37.479681,127.036037,16811.4,,,,,,,,02-3423-6245,2021-07-09
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.485594,127.045605,9367,,,,,,,,02-3423-6245,2021-07-09
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181,37.48821488,127.0594681,11627.2,,,,,,,,02-3423-6245,2021-07-09
