관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11740-00047,원터공원,근린공원,서울특별시 강동구 양재대로147길 18(명일동),서울특별시 강동구 명일2동 37,37.5524155,127.1430368,24508.5,"배드민턴장, 체력단련기구",,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00048,송림공원,근린공원,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310,37.55504732,127.1539494,11491,"배드민턴장, 체력단련기구",,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00049,까치공원,근린공원,서울특별시 강동구 고덕로 55길70(고덕동),서울특별시 강동구 고덕1동 493,37.557079,127.149995,19464.8,"농구장, 체력단련기구",,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00050,두레공원,근린공원,,서울특별시 강동구 고덕1동 497,37.558206,127.152203,13460.2,"농구장, 체력단련기구",,"간이화장실, 먹는물공동시설",,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00051,동자공원,근린공원,,서울특별시 강동구 고덕1동 648,37.559711,127.152467,6416.6,체력단련기구,조합놀이대,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00052,샘터공원,근린공원,,서울특별시 강동구 고덕2동 287,37.561901,127.159087,63320.9,"배드민턴장, 족구장, 체력단련기구","조합놀이대, 시소, 흔들놀이, 모험놀이","화장실, 음수대, 먹는물공동시설",,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00053,방죽공원,근린공원,서울특별시 강동구 동남로82길94-58(고덕동),서울특별시 강동구 고덕2동 296,37.5591586,127.1598268,87748.6,"농구장, 배드민턴장, 체력단련기구",,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00054,동명공원,근린공원,,서울특별시 강동구 고덕2동 229 외1,37.561146,127.164455,99599.9,"축구장, 농구장, 배드민턴장, 게이트볼장, 체력단련기구",,"주차장, 화장실, 음수대, 시계탑",,관리사무소,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00055,상일공원,근린공원,서울특별시 강동구 상암로79가길3(상일동),서울특별시 강동구 상일동 188,37.5469247,127.167312,9704,체력단련기구,,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00056,방아다리공원,어린이공원,서울특별시 강동구 동남로65길46-8(명일동),서울특별시 강동구 명일2동 236,37.548156,127.153648,2010.4,체력단련기구,"조합놀이대, 그네, 시소, 흔들놀이",,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00057,둔촌공원,어린이공원,,서울특별시 강동구 둔촌2동 79-4,37.531437,127.143288,2226,체력단련기구,"조합놀이대, 그네, 시소, 흔들놀이, 모래놀이터",음수대,,,1990-02-21,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00058,암사동공원,소공원,,서울특별시 강동구 암사동 518-1,37.550259,127.123729,1022,,,,,,1999-07-29,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00059,솔말소공원,근린공원,,서울특별시 강동구 암사3동 400-1,37.556493,,1108.6,체력단련기구,,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00060,솜다래공원,근린공원,,서울특별시 강동구 암사1동 413-4,37.553691,127.141229,3993.8,,,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00061,암사공원,근린공원,,서울특별시 강동구 암사3동 414-20,37.5565294,,7047,체력단련기구,그네,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00062,천일공원,어린이공원,서울특별시 강동구 구천면로42길60(천호동),서울특별시 강동구 천호1동 221-3,37.54498878,127.1362629,2408,체력단련기구,"조합놀이대, 그네, 흔들놀이, 모래놀이터",음수대,,,2001-03-21,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00063,당말공원,어린이공원,서울특별시 강동구 진황도로29길34(천호동),서울특별시 강동구 천호3동 167-195,37.53912769,127.133246,2409,체력단련기구,"조합놀이대, 시소, 흔들놀이",음수대,,,2002-10-04,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00064,다솜공원,어린이공원,,서울특별시 강동구 강일동 333-1,37.546877,127.167582,3125,,"조합놀이대, 시소, 흔들놀이",,,,2003-11-10,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00065,꽃보라공원,어린이공원,,서울특별시 강동구 강일동 317-1,37.565352,127.175724,3185,,"조합놀이대, 흔들놀이",,,,2003-11-10,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00066,윤슬공원,어린이공원,,서울특별시 강동구 강일동 448-1,37.562677,127.177545,2591,,"조합놀이대, 그네, 흔들놀이",,,,2003-11-10,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00067,꿈터공원,어린이공원,,서울특별시 강동구 강일동 429-1,37.560861,127.180266,1804,,"조합놀이대, 시소, 흔들놀이",,,,2003-11-10,서울특별시 강동구청,02-3425-6440,2021-08-25
11740-00068,나루공원,어린이공원,,서울특별시 강동구 천호2동 569-1,37.547038,127.123604,1500,체력단련기구,"조합놀이대, 흔들놀이, 모래놀이터",,,,2004-09-15,서울특별시 강동구청,02-3425-6440,2021-08-25
