관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11305-00030,오 현,어린이공원,,서울특별시 강북구 번3동 244,37.623976,127.046488,3661,,조합놀이대 그네 시소,화장실,,,1988-12-30,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00031,색 동,어린이공원,,서울특별시 강북구 수유1동 49-7,37.633443,,2341.2,,조합놀이대 그네 흔들놀이,,,,1964-10-16,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00032,흰구름,어린이공원,,서울특별시 강북구 수유2동 252-19,37.645866,127.020635,1064,,조합놀이대 그네 시소,화장실,,,1965-07-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00033,희 망,어린이공원,,서울특별시 강북구 수유3동 194-41,37.640764,127.024431,976.9,,조합놀이대 그네,,,,1965-11-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00034,은모루,어린이공원,,서울특별시 강북구 수유3동 172-209,37.642612,127.026714,918,,조합놀이대 그네 시소,화장실,,,1965-11-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00035,소 귀,어린이공원,,서울특별시 강북구 수유3동 25-1,37.638742,127.018697,961,,조합놀이대 그네 시소,,,,1965-11-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00036,상산,어린이공원,,서울특별시 강북구 수유3동 224-4,37.638514,127.023986,972.9,,조합놀이대 그네 시소,,,,1965-11-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00037,흰구름,소공원,,서울특별시 강북구 수유2동 252-16,37.645951,127.020465,214,,없음,,,,1990-06-08,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00038,보등골,어린이공원,,서울특별시 강북구 인수동 605-209,37.635202,127.018417,869,,조합놀이대 그네 시소,,,,1999-02-19,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00039,수유일공원,어린이공원,,서울특별시 강북구 수유1동 605-389,37.630852,127.017011,2632,,조합놀이대 그네 등,화장실,,,2005-09-15,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00040,새 싹,어린이공원,,서울특별시 강북구 수유3동 134-40,37.636307,,651,,조합놀이대 시소,,,,,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00041,푸 른,어린이공원,,서울특별시 강북구 인수동 516-44,37.638686,127.008423,992,,조합놀이대 그네,,,,,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00042,무너미,어린이공원,서울특별시 강북구 수유동 281-2,서울특별시 강북구 수유동 281-2,37.6460666,127.0127415,380,,조합놀이대 시소,,,,,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00043,빨래골,어린이공원,,서울특별시 강북구 수유1동 475-115,37.629534,127.014863,476,,조합놀이대 시소 흔들놀이,,,,,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00044,장미원,어린이공원,,서울특별시 강북구 수유2동 276-10,37.646688,127.015689,340,,조합놀이대,,,,,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00045,솔밭근린공원,근린공원,,서울특별시 강북구 우이동 80,37.65301305,127.012249,34955,배드민턴장,조합놀이대 그네 흔들놀이,화장실,야외무대 장기바둑쉼터 놀이마당,바닥분수,1996-10-18,서울특별시 강북구청,02-901-6953,2021-08-24
11305-00001,벽오산,어린이공원,서울특별시 강북구 미아동 258-56,서울특별시 강북구 미아동 258-56,37.62758933,127.0302701,1250,,조합놀이대 시소,,,,1968-04-25,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00002,미아도심소,어린이공원,서울특별시 강북구 미아동 258-148,서울특별시 강북구 미아동 258-148,37.62536211,127.031259,1127,,조합놀이대,,,,1968-04-25,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00003,오 패,어린이공원,서울특별시 강북구 미아동 258-236,서울특별시 강북구 미아동 258-236,37.62231672,127.032307,1084,,조합놀이대 시소 그네,,,,1968-04-25,서울특별시 강북구청,02-901-6952,2021-08-24
11305-00004,한 빛,어린이공원,서울특별시 강북구 미아동 222-20,서울특별시 강북구 미아동 222-20,37.62768452,127.022893,1192.1,,조합놀이대 그네,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6952,2021-08-24
