관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00001,우장,근린공원,서울특별시 강서구 우장산로 72,서울특별시 강서구 화곡동 산60-1,37.55282,126.843808,359435.2,,,,,,1971-08-06,서울특별시 강서구청,02-2600-4185,2021-03-22
11500-00002,궁산,근린공원,,서울특별시 강서구 가양동 산4-7,37.574254,126.841332,135002.7,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2021-03-22
11500-00003,염창,근린공원,서울특별시 강서구 양천로67길 43,서울특별시 강서구 염창동 산24-1,37.557007,126.869821,112070,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00004,꿩고개,근린공원,,서울특별시 강서구 방화동 산97-1,37.577983,126.808105,180000,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00005,봉제산,근린공원,,서울특별시 강서구 화곡동 산1,37.539906,126.849751,917190,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4184,2021-03-22
11500-00006,개화,근린공원,,서울특별시 강서구 개화동 산17,37.588011,126.796781,386500,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2021-03-22
11500-00007,등마루,근린공원,서울특별시 강서구 까치산로28길 33-15,서울특별시 강서구 화곡동 산199,37.552858,126.856221,74299,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2021-03-22
11500-00008,공암나루,근린공원,서울특별시 강서구 강서로80길 117,서울특별시 강서구 가양동 1459-9,37.570635,126.849087,25680.4,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00009,구암,근린공원,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,37.567599,126.853729,29843.8,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00010,황금내,근린공원,서울특별시 강서구 허준로 221-40,서울특별시 강서구 가양동 1485-5,37.561783,126.864104,22002.9,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00011,원당,근린공원,서울특별시 강서구 강서로56길 49,서울특별시 강서구 등촌동 690-5,37.559782,126.842567,10096.4,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2021-03-22
11500-00012,등촌,근린공원,서울특별시 강서구 강서로62길 35,서울특별시 강서구 등촌동 687-4,37.563683,126.841391,10051.6,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2021-03-22
11500-00013,서낭당,근린공원,서울특별시 강서구 공항대로43길 46,서울특별시 강서구 등촌동 706,37.558865,126.849984,10248.8,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2021-03-22
11500-00014,방화,근린공원,서울특별시 강서구 금낭화로 176,서울특별시 강서구 방화동 855,37.580907,126.81412,72132,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00015,옹기골,근린공원,서울특별시 강서구 양천로 149,서울특별시 강서구 방화동 842,37.573562,126.821695,9723.6,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00016,매화,근린공원,,서울특별시 강서구 등촌동 630-14,37.557535,126.852151,1980.4,,,,,,1997-06-11,서울특별시 강서구청,02-2600-4186,2021-03-22
11500-00017,까치산,근린공원,,서울특별시 강서구 화곡동 산162-1,37.536938,126.843936,27658,,,,,,1991-04-07,서울특별시 강서구청,02-2600-4112,2021-03-22
11500-00018,수명산,근린공원,,서울특별시 강서구 내발산동 748,37.550967,126.829893,83807.1,,,,,,2003-12-26,서울특별시 강서구청,02-2600-4112,2021-03-22
11500-00019,발산,근린공원,서울특별시 강서구 마곡중앙로 11,서울특별시 강서구 내발산동 739,37.55454,126.825837,17825.5,,,,,,2005-02-01,서울특별시 강서구청,02-2600-4112,2021-03-22
