관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11620-00001,상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,서울특별시 관악구 봉천동 산 103-52,37.491879,126.9414281,87458,배드민턴장,조합놀이대,화장실,,,1940-03-12,서울특별시 관악구청,02-879-6503,2021-10-15
11620-00002,호박골,어린이공원,,서울특별시 관악구 신림동 1580-22,,126.923932,417,,흔들말+조합놀이대,,,,1944-08-10,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00003,해태,어린이공원,서울특별시 관악구 서림3길 47,서울특별시 관악구 신림동 103-141,37.472323,126.940612,1359,,그네+흔들말+조합놀이대,,,,1970-07-02,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00004,당곡,어린이공원,,서울특별시 관악구 봉천동 662-122,37.488678,,294,,조합놀이대,,,,1970-07-04,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00005,군아파트,어린이공원,,서울특별시 관악구 남현동 602-143,37.471823,126.978932,926,,그네+조합놀이대,,,,1970-08-17,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00006,상록,어린이공원,서울특별시 관악구 승방3나길 14,서울특별시 관악구 남현동 602-196,37.472906,126.980544,1557,,그네+흔들말+조합놀이대,,,,1970-08-17,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00007,남현,어린이공원,,서울특별시 관악구 남현동 602-333,37.471865,126.981333,554,,,,,,1970-08-17,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00008,예촌,어린이공원,서울특별시 관악구 남현길 41,서울특별시 관악구 남현동 1083-1,37.47453441,126.9768782,1509,,그네+흔들말+조합놀이대,화장실,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00009,난우,어린이공원,,서울특별시 관악구 신림동 652-160,37.466402,126.921869,241,,그네+조합놀이대,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00010,남부,어린이공원,서울특별시 관악구 남부순환로163가길 20,서울특별시 관악구 신림동 483-14,37.48480913,126.920679,990,,그네+흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00011,새들,어린이공원,,서울특별시 관악구 신림동 1441-42,,126.925741,979,,그네+흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00012,색동,어린이공원,서울특별시 관악구 신림로70길 74,서울특별시 관악구 신림동 1418-1,37.486533,126.932555,952,,그네+흔들말+조합놀이대,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00013,새숲,어린이공원,,서울특별시 관악구 신림동 539-14,37.482374,126.913108,991,,흔들말+조합놀이대+오르는기구,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00014,장군봉,소공원,,서울특별시 관악구 신림동 94-252,37.478054,126.939008,175,,,,,,1970-09-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00015,은천,어린이공원,,서울특별시 관악구 봉천동 635-309,37.488223,126.942996,443,,흔들말+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00016,국회단지,어린이공원,,서울특별시 관악구 봉천동 635-37,37.490274,126.943211,1200,,미끄럼틀+흔들말+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00017,국지,어린이공원,서울특별시 관악구 국회단지19길 23,,37.490053,126.940606,1650,,미끄럼틀+조합놀이대,,,,1971-02-15,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00018,서원,어린이공원,서울특별시 관악구 서원3길 10,,37.476815,126.933237,2324,,그네+미끄럼틀+조합놀이대+오르는기구,,,,1971-03-26,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00019,송학,어린이공원,,서울특별시 관악구 봉천동 877-21,37.480272,126.949269,1013,,조합놀이대,,,,1971-04-12,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00020,백설,어린이공원,서울특별시 관악구 관악로6길 50,,37.476236,126.953512,1655,,그네+미끄럼틀+흔들말+조합놀이대,,,,1971-04-22,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00021,신화,어린이공원,,서울특별시 관악구 신림동 408-10,37.476656,126.935702,850,,그네+흔들말+조합놀이대,,,,1971-06-03,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00022,미도,어린이공원,,서울특별시 관악구 신림동 675-200,37.462803,126.915263,978,,그네+조합놀이대,,,,1971-06-15,서울특별시 관악구청,02-879-6504,2021-10-15
11620-00023,무궁화,어린이공원,,서울특별시 관악구 신림동 645-1,37.482017,126.928727,660,,그네+조합놀이대,,,,1971-06-29,서울특별시 관악구청,02-879-6504,2021-10-15
