관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11215-10101,중곡공원,어린이공원,서울특별시 광진구 긴고랑로5길 10 (중곡동),서울특별시 광진구 중곡1동 232-44,37.564536,127.0791404,995.7,,조합놀이대,,,경로당,1973-05-18,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10102,배나무터공원,어린이공원,서울특별시 광진구 동일로76나길 20 (중곡동),서울특별시 광진구 중곡3동 695,37.56833955,127.0802718,971.9,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10103,해오름공원,어린이공원,서울특별시 광진구 영화사로7길 25 (중곡동),서울특별시 광진구 중곡4동 100-16,37.55678368,127.0921836,840,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10104,한마음공원,어린이공원,,서울특별시 광진구 중곡2동 51-6,37.559563,127.075261,897.8,,"조합놀이대, 그네",,,,2000-03-03,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10105,긴고랑공원,어린이공원,서울특별시 광진구 긴고랑로 143 (중곡동),서울특별시 광진구 중곡4동 68-19,37.5588785,127.0910182,633,,"조합놀이대, 그네",화장실,,,2004-08-05,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10201,능동정자마당공원,소공원,,서울특별시 광진구 능동 369-12,37.553395,127.070549,1518,,,,,,2005-05-23,서울특별시 광진구청,02-450-7778,2020-12-11
11215-10301,개나리공원,어린이공원,,서울특별시 광진구 구의3동 216-5,37.538013,127.083613,988.8,,"조합놀이대, 흔들놀이기구",,,,1969-01-21,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10302,목련공원,어린이공원,서울특별시 광진구 아차산로59길 49 (구의동),서울특별시 광진구 구의3동 223-4,37.54063897,127.0906565,989.8,,"조합놀이대, 그네",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10303,무궁화공원,어린이공원,서울특별시 광진구 광나루로52길 12 (구의동),서울특별시 광진구 구의3동 206-10,37.541247,127.0945497,1041.7,,"조합놀이대, 그네",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10304,장미공원,어린이공원,서울특별시 광진구 구의강변로3길 39 (구의동),서울특별시 광진구 구의3동 590-2,37.536273,127.0901399,986.5,,"조합놀이대, 그네, 흔들놀이기구",,,경로당,1969-01-21,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10305,푸른동산공원,어린이공원,서울특별시 광진구 광나루로44길 32 (구의동),서울특별시 광진구 구의3동 227-13,37.54290187,127.0911934,933.2,,"조합놀이대, 그네",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10306,구둘공원,어린이공원,서울특별시 광진구 자양로42길 44 (구의동),서울특별시 광진구 구의2동 60-8,37.548121,127.0921729,788.1,,기타놀이기구,,,,1973-05-18,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10307,산마루공원,어린이공원,,서울특별시 광진구 구의2동 560-5,,127.0952179,917,,"조합놀이대, 그네",,,,2015-11-19,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10308,구의공원,어린이공원,서울특별시 광진구 광나루로56길 86 (구의동),서울특별시 광진구 구의3동 546-2,37.53650197,127.0947429,10464,배드민턴장,"조합놀이대, 그네, 시소, 흔들놀이기구",화장실,,,1984-08-22,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10309,명성공원,어린이공원,,서울특별시 광진구 구의1동 249-25,37.541424,127.077953,548.4,,"조합놀이대, 그네",,,,2001-10-20,서울특별시 광진구청,02-450-7775,2020-12-11
11215-10310,구의가로휴식공원,소공원,,서울특별시 광진구 구의동 589-4,37.536431,127.084515,95.2,,,,,,1971-11-26,서울특별시 광진구청,02-450-7778,2020-12-11
11215-10401,온달공원,어린이공원,서울특별시 광진구 아차산로73길 15 (광장동),서울특별시 광진구 광장동 242-1,37.54598705,127.1040746,1012,,"조합놀이대, 그네, 흔들놀이기구",화장실,,경로당,1978-11-14,서울특별시 광진구청,02-450-7775,2020-12-11
