관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11530-00001,미래사랑어린이공원,어린이공원,,서울특별시 구로구 신도림동 314-2,37.50984705,126.8890762,5870,체력단련시설 5점,조합놀이 1기,,,,2004-02-16,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00002,대성디큐브시티문화공원,문화공원,,서울특별시 구로구 신도림동 692-1,37.508432,126.888733,3322,,,,,,2006-05-04,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00003,신도림어린이공원,어린이공원,,서울특별시 구로구 신도림동 646-1,37.510678,126.888452,2292,체력단련시설 6점,모래밭 1기,,,,2000-04-07,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00005,희망어린이공원,어린이공원,,서울특별시 구로구 구로동 745-74,37.48703809,126.886243,911,체력단련시설 3점,"그네 1기, 조합놀이 1기",,,,1965-07-08,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00006,꿈마을어린이공원,어린이공원,,서울특별시 구로구 구로동 777-1,37.487173,126.8901545,1609,체력단련시설 6점,"모래밭 1기, 시소1기, 조합놀이 1기",,,,1970-03-18,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00007,구로리어린이공원,어린이공원,,서울특별시 구로구 구로동 139-82,37.4904165,126.891578,7782,체력단련시설 9점,"그네 1기, 모래밭 1기, 시소 2기, 조합놀이 1기",,,,1977-11-19,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00008,솔길어린이공원,어린이공원,,서울특별시 구로구 구로동 391-1,37.489254,126.880616,1999,체력단련시설 5점,"그네 1기, 모래밭 1기, 조합놀이 2기",,,,1981-03-10,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00009,화원어린이공원,어린이공원,,서울특별시 구로구 구로동 478-1,37.49791653,126.8804405,4544,체력단련시설 5점,"모래밭 1기, 시소 1기, 조합놀이 1기",,,,1981-03-10,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00010,삼각어린이공원,어린이공원,,서울특별시 구로구 구로동 47,37.501239,126.891969,2634,체력단련시설 3점,"그네 1기, 모래밭 1기, 시소 1기, 조합놀이 1기",,,,1982-07-08,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00011,구로근린공원,근린공원,,서울특별시 구로구 구로동 102,37.49748278,126.8896027,7901,체력단련시설 5점,조합놀이 1기,"주차장 1개소, 화장실 1개소, 음수대 1기","도서관 1개소, 문화회관 1개소",,1982-07-12,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00012,환경어린이공원,어린이공원,,서울특별시 구로구 구로동 797-1,37.48502191,126.888408,528,체력단련시설 2점,"시소 1기, 조합놀이 1기",,,,1990-10-22,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00013,애경어린이공원,어린이공원,,서울특별시 구로구 구로동 501-22,37.500156,126.884417,2996,체력단련시설 6점,"그네 1기, 조합놀이 1기",,,,2002-10-09,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00014,테크노근린공원,근린공원,,서울특별시 구로구 구로동 3-33,37.577985,126.950593,10482,체력단련시설 6점,,음수대 2기,,,2005-01-05,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00015,구로동(다울)소공원,소공원,,서울특별시 구로구 구로동 1286-1,37.492279,126.888217,243,체력단련시설 4점,,,,,2008-03-31,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00016,도레미어린이공원,어린이공원,,서울특별시 구로구 고척동 331-1,37.508017,126.852322,326,체력단련시설 3점,조합놀이 1기,,,,1970-03-18,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00017,계남근린공원,근린공원,,서울특별시 구로구 고척동 산8,37.505292,126.853069,158814,"운동장 1개소, 테니스장 1개소, 체력단력시설 95점",,음수대 1기,,,1971-08-06,서울특별시 구로구청,02-860-2396,2021-02-18
11530-00018,고척근린공원,근린공원,,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,108120,"운동장 1개소, 테니스장 1개소, 수영장 1개소, 배드민턴 2개소, 게이트볼 1개소, 체력단력시설 56점","모래밭 2기, 시소 1기, 조합놀이 3기","주차장 1개소, 화장실 1개소, 공중전화 3기, 음수대 6기, 시계탑 2기",도서관 1개소,,1977-07-09,서울특별시 구로구청,02-860-2396,2021-02-18
11530-00019,골목어린이공원,어린이공원,,서울특별시 구로구 고척동 224-3,37.507017,126.853545,266,체력단련시설 2점,"그네 1기, 모래밭 1기, 조합놀이 1기",,,,1978-09-05,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00020,능골어린이공원,어린이공원,,서울특별시 구로구 고척동 220-3,37.506852,126.854254,357,체력단련시설 6점,"시소 1기, 조합놀이 1기",,,,1979-05-03,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00021,오금어린이공원,어린이공원,,서울특별시 구로구 고척동 57-22,37.504948,126.866221,348,체력단련시설 3점,"모래밭 1기, 조합놀이 1기",,,,1980-07-26,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00022,덕의근린공원,근린공원,,서울특별시 구로구 고척동 339-4,37.577985,126.950593,5565,체력단련시설 12점,,"음수대1기, 화장실 1개소",,,2001-10-02,서울특별시 구로구청,02-860-3086,2021-02-18
