관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11320-00001,북한산 국립공원,기타,서울특별시 도봉구 도봉산길 88(도봉동),서울특별시 도봉구 도봉1동 산29-2,37.6920803,127.0312043,8703000,,,"대피소2, 사무소1, 약수터3, 교량 10, 통제소 4, 화장실 20, 파고라 8, 탐방지원센터 1",,,,,,2019-01-01
11320-00002,초안산근린공원,근린공원,서울특별시 도봉구 해등로3길 48-11(창동),서울특별시 도봉구 창동 산24 초안산근린공원,37.6474261,127.0414291,664905,,,"정보문화센터, 배드민턴장, 인조잔디축구장",,,,,,2019-01-01
11320-00003,쌍문근린공원,근린공원,서울특별시 도봉구 시루봉로2길 34(쌍문동),서울특별시 도봉구 쌍문동 산80,37.6541919,127.0290879,328018,,,"배구장, 배드민턴장, 테니스장, 휴게광장,체력단련장, 청소년문화회관",,,,,,2019-01-01
11320-00004,월천근린공원,근린공원,서울특별시 도봉구 노해로70길 126,서울특별시 도봉구 창동 28,37.64727111,127.0523187,10712,,,"화장실, 조합놀이대, 배드민턴장",,,,,,2019-01-01
11320-00005,누 원,어린이공원,,서울특별시 도봉구 도봉동 653,37.6803963,127.0500458,1515,,,"조합놀이대, 의자 등",,,2010-04-01,,,2019-01-01
11320-00006,새동네,어린이공원,,서울특별시 도봉구 도봉동 289-5,37.6889748,127.0431725,1289,,,"조합놀이대, 의자 등",,,2010-08-01,,,2019-01-01
11320-00007,무지개,어린이공원,,서울특별시 도봉구 도봉동 570-13,37.6856475,127.0450237,921,,,"조합놀이대, 의자, 바닥분수 등",,,2016-11-01,,,2019-01-01
11320-00008,서 원,어린이공원,,서울특별시 도봉구 도봉동 576-13,37.6838254,127.0433093,921,,,"조합놀이대, 의자, 바닥분수 등",,,2015-11-01,,,2019-01-01
11320-00009,무 수,어린이공원,,서울특별시 도봉구 도봉동 585-2,37.6806313,127.0427453,1003,,,"조합놀이대, 의자 등",,,2010-03-01,,,2019-01-01
11320-00010,해 태,어린이공원,,서울특별시 도봉구 도봉동 614-37,37.6720052,127.0412072,962,,,"조합놀이대, 의자, 바닥분수 등",,,2009-12-01,,,2019-01-01
11320-00011,갈대밭,어린이공원,,서울특별시 도봉구 도봉동 625-123,37.6743303,127.0458103,973,,,"조합놀이대, 의자",,,2006-05-01,,,2019-01-01
11320-00012,방 학,어린이공원,,서울특별시 도봉구 방학동 304-20,37.6631059,127.0322622,305,,,"의자, 운동기구 등",,,2016-11-01,,,2019-01-01
11320-00013,샘 말,어린이공원,,서울특별시 도봉구 방학동 611-5,37.6684889,127.0315749,1085,,,"조합놀이대, 의자, 바닥분수 등",,,2016-11-01,,,2019-01-01
11320-00014,개나리,어린이공원,,서울특별시 도봉구 방학동 638-12,37.6673406,127.0371512,960,,,"조합놀이대, 의자, 바닥분수 등",,,2018-06-01,,,2019-01-01
11320-00015,생잇들,어린이공원,,서울특별시 도봉구 방학동 644-28,37.6689795,127.039176,970,,,"조합놀이대, 의자 등",,,2009-05-01,,,2019-01-01
11320-00016,무궁화,어린이공원,,서울특별시 도봉구 방학동 655-31,37.6678419,127.0421955,1003,,,"조합놀이대, 의자, 바닥분수 등",,,2016-10-01,,,2019-01-01
11320-00017,뒷 말,어린이공원,,서울특별시 도봉구 방학동 663,37.6637475,127.0336461,1000,,,"조합놀이대, 의자, 바닥분수 등",,,2018-10-01,,,2019-01-01
11320-00018,사 슴,어린이공원,,서울특별시 도봉구 방학동 681-13,37.6644567,127.041749,970,,,"조합놀이대, 의자, 바닥분수 등",,,2014-12-01,,,2019-01-01
11320-00019,소 망,어린이공원,,서울특별시 도봉구 방학동 694-9,37.6635246,127.0369361,973,,,"조합놀이대, 의자 등",,,2018-10-01,,,2019-01-01
11320-00020,학 골,어린이공원,,서울특별시 도봉구 방학동 735-4,37.6635246,127.0369361,149,,,"의자, 운동기구 등",,,2009-05-01,,,2019-01-01
11320-00021,금성윗들,어린이공원,,서울특별시 도봉구 방학1동 717-1,37.6676592,127.0447831,1289,,,"조합놀이대, 의자 등",,,2017-12-01,,,2019-01-01
11320-00022,노 해,어린이공원,,서울특별시 도봉구 쌍문동 709-32,37.6609382,127.0396947,1019,,,"조합놀이대, 의자, 바닥분수 등",,,2018-08-01,,,2019-01-01
11320-00023,둥근달,어린이공원,,서울특별시 도봉구 쌍문동 139-101,37.6497343,127.0301124,1013,,,"조합놀이대, 의자 등",,,2018-06-01,,,2019-01-01
11320-00024,꽃동네,어린이공원,,서울특별시 도봉구 쌍문동 286-32,37.6506429,127.0229685,317,,,"조합놀이대, 의자 등",,,2015-11-01,,,2019-01-01
11320-00025,샛 별,어린이공원,,서울특별시 도봉구 쌍문동 315-362,37.6480726,127.0291963,331,,,"조합놀이대, 의자 등",,,2016-12-01,,,2019-01-01
11320-00026,효 자,어린이공원,,서울특별시 도봉구 창동 27-2,37.6500558,127.0510344,1573,,,"조합놀이대, 의자, 화장실 등",,,2010-12-01,,,2019-01-01
11320-00027,모 랫,어린이공원,,서울특별시 도봉구 창동 30-1,37.6468286,127.0517995,1500,,,"모험놀이, 의자 등",,,2018-08-01,,,2019-01-01
11320-00028,유 만,어린이공원,,서울특별시 도봉구 창동 33-4,37.650387,127.0529829,1500,,,"모험놀이, 의자 등",,,2018-08-01,,,2019-01-01
11320-00029,대 창,어린이공원,,서울특별시 도봉구 창동 38-4,37.64436,127.0522814,1500,,,"조합놀이대, 의자, 화장실 등",,,2011-11-01,,,2019-01-01
11320-00030,창 원,어린이공원,,서울특별시 도봉구 창동 307,37.6529957,127.0403553,2329,,,"조합놀이대, 의자 등",,,2010-05-01,,,2019-01-01
11320-00031,은행나무,어린이공원,,서울특별시 도봉구 창동 347-3,37.6496529,127.0437757,3199,,,"조합놀이대, 의자, 화장실 등",,,2013-02-01,,,2019-01-01
11320-00032,반 석,어린이공원,,서울특별시 도봉구 창동 354,37.6471171,127.0412529,2596,,,"조합놀이대, 의자 등",,,2010-12-01,,,2019-01-01
11320-00033,뱃 골,어린이공원,,서울특별시 도봉구 창동 367,37.6465834,127.0450164,2319,,,"조합놀이대, 의자, 화장실 등",,,2015-11-01,,,2019-01-01
11320-00034,밤 골,어린이공원,,서울특별시 도봉구 창동 368,37.6487859,127.0458545,2279,,,"조합놀이대, 그네, 화장실 등",,,2012-04-01,,,2019-01-01
11320-00035,창 골,어린이공원,,서울특별시 도봉구 창동 381,37.6430752,127.0486262,4236,,,"조합놀이대, 의자 등",,,2018-12-01,,,2019-01-01
11320-00036,신 창,어린이공원,,서울특별시 도봉구 창동 449-103,37.6400636,127.040857,579,,,"조합놀이대, 의자 등",,,2016-11-01,,,2019-01-01
11320-00037,물방울,어린이공원,,서울특별시 도봉구 창동 458-6,37.6375725,127.0412883,646,,,"조합놀이대, 의자, 바닥분수 등",,,2009-05-01,,,2019-01-01
11320-00038,장 미,어린이공원,,서울특별시 도봉구 창동 553-8,37.6381458,127.036365,1000,,,"조합놀이대, 의자 등",,,2018-08-01,,,2019-01-01
11320-00039,창고개,어린이공원,,서울특별시 도봉구 창동 608-5,37.6447409,127.0393257,990,,,"조합놀이대, 의자, 벽천분수 등",,,2016-12-01,,,2019-01-01
11320-00040,다람쥐,어린이공원,,서울특별시 도봉구 창동 624-16,37.6452098,127.0349159,988,,,"조합놀이대, 의자 등",,,2016-08-01,,,2019-01-01
11320-00041,달 내,어린이공원,,서울특별시 도봉구 창동 630-4,37.6427555,127.0352756,1001,,,"조합놀이대, 의자 등",,,2010-04-01,,,2019-01-01
11320-00042,꿈동산,어린이공원,,서울특별시 도봉구 창동 663-1,37.6501236,127.0368382,1008,,,"조합놀이대, 의자 등",,,2010-12-01,,,2019-01-01
11320-00043,미 화,어린이공원,,서울특별시 도봉구 창동 715-17,37.6549516,127.0397052,996,,,"조합놀이대, 의자, 바닥분수 등",,,2010-04-01,,,2019-01-01
11320-00044,창3 마을공원,소공원,,서울특별시 도봉구 창동 505-12,37.6333294,127.0412078,3314,,,,,,2010-05-13,,,2019-01-01
11320-00045,창2 마을공원,소공원,,서울특별시 도봉구 창동 582-22,37.6412657,127.0362989,3104,,,,,,2010-05-13,,,2019-01-01
11320-00046,무수울 소공원,소공원,,서울특별시 도봉구 도봉동 470,37.6778355,127.0338381,161,,,,,,2008-03-20,,,2019-01-01
11320-00047,무수골 소공원,소공원,,서울특별시 도봉구 도봉동 429-3,37.67844303,127.0389233,854,,,,,,2008-03-20,,,2019-01-01
11320-00048,쌍문1구역 소공원,소공원,,서울특별시 도봉구 쌍문동 732-1,37.6489288,127.0219352,1188,,,,,,2007-05-17,,,2019-01-01
11320-00049,다락원 체육공원,체육공원,서울특별시 도봉구 마들로 932,서울특별시 도봉구 도봉동 8번지,37.69077285,127.0465624,49830,,,,,,,,,2019-01-01
11320-00050,서울 창포원,기타,서울특별시 도봉구 마들로 916,서울특별시 도봉구 도봉동 4,37.6892727,127.0475814,51486,,,,,,,,,2019-01-01
11320-00051,방학3동,기타,,서울특별시 도봉구 방학동 306-24,37.6633231,127.0292778,874,,,,,,,,,2019-01-01
11320-00052,도봉1동(1),기타,,서울특별시 도봉구 도봉동 282-275,37.6875164,127.0428127,489,,,,,,,,,2019-01-01
11320-00053,쌍문1동,기타,,서울특별시 도봉구 쌍문동 490-27,37.6545297,127.0163509,180,,,,,,,,,2019-01-01
11320-00054,창5동,기타,,서울특별시 도봉구 창동 700-87,37.6520013,127.0387085,262,,,,,,,,,2019-01-01
11320-00055,도봉2동,기타,,서울특별시 도봉구 도봉동 630-1,37.6768238,127.0490433,316,,,,,,,,,2019-01-01
11320-00056,방학1동,기타,,서울특별시 도봉구 방학동 265-4,37.661482,127.0371404,203,,,,,,,,,2019-01-01
11320-00057,도봉1동(2),기타,,서울특별시 도봉구 도봉동 638-1,37.6862776,127.0408206,1583,,,,,,,,,2019-01-01
11320-00058,쌍문4동(1),기타,,서울특별시 도봉구 쌍문동 259-6,37.6569337,127.0280205,108,,,,,,,,,2019-01-01
11320-00059,쌍문4동(2),기타,,서울특별시 도봉구 쌍문동 245-2,37.6590534,127.0287138,793,,,,,,,,,2019-01-01
11320-00060,쌍문2동,기타,,서울특별시 도봉구 쌍문동 69-59,37.6553216,127.0347283,585,,,,,,,,,2019-01-01
11320-00061,발바닥공원,기타,서울특별시 도봉구 시루봉로 94,서울특별시 도봉구 방학동 490-8,37.6591413,127.0279921,13879,,,,,,,,,2019-01-01
11320-00062,방학사계광장,기타,,서울특별시 도봉구 방학동 678,37.6624333,127.0418448,15780,,,,,,,,,2019-01-01
11320-00063,도봉산역 만남의광장,기타,,서울특별시 도봉구 도봉2동 41,37.6882419,127.0467981,5271,,,,,,,,,2019-01-01
11320-00064,창동 공원,기타,,서울특별시 도봉구 창4동 181-38,37.6601682,127.045372,792,,,,,,,,,2019-01-01
11320-00065,방학동 공원,기타,,서울특별시 도봉구 방학1동 714-15,37.6644754,127.0454838,631,,,,,,,,,2019-01-01
11320-00066,방학3동 가로공원,기타,,서울특별시 도봉구 방학3동 443,37.6634352,127.0276147,735,,,,,,,,,2019-01-01
11320-00067,도봉마루공원,기타,,서울특별시 도봉구 도봉1동 279,37.6877313,127.0439158,1361,,,,,,,,,2019-01-01
11320-00068,한전변전소 자투리땅 휴게공원,기타,,서울특별시 도봉구 쌍문3동 346-3,37.6482319,127.0268292,606,,,,,,,,,2019-01-01
11320-00069,원당샘공원,기타,,서울특별시 도봉구 방학3동 547,37.6607526,127.0220787,4671,,,,,,,,,2019-01-01
11320-00070,도로개설잔여부 휴게공원,기타,,서울특별시 도봉구 방학1동 725-31,37.6611929,127.0505123,121,,,,,,,,,2019-01-01
11320-00071,서울북부지방검찰청주변녹지,기타,,서울특별시 도봉구 도봉2동 626-22,37.6756414,127.0466808,314,,,,,,,,,2019-01-01
