관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11230-00001,청량,근린공원,,서울특별시 동대문구 청량리동 산1-1,,,119871,,,,홍릉수목원,,1940-03-12,서울특별시 동대문구청,02-2127-4775,2021-06-25
11230-00002,우산각,어린이공원,서울특별시 동대문구 천호대로4길 22,서울특별시 동대문구 신설동 109-4,37.57385655,127.0241852,5294.2,다목적구장,"조합놀이대, 흔들놀이, 그네",화장실,도서관,"다목적광장, 바닥분수",1963-04-26,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00003,느티나무,어린이공원,,서울특별시 동대문구 용두동 138-61,,,1719,,,,,,1976-03-11,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00004,안골,어린이공원,서울특별시 동대문구 천호대로77다길 20,서울특별시 동대문구 장안동 402,37.56526436,127.0643819,1652.3,,"조합놀이대, 시소, 그네, 흔들놀이, 모래놀이터",음수전,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00005,마로니에,어린이공원,,서울특별시 동대문구 장안동 325,,,1656.2,,조합놀이대,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00006,늘푸른,어린이공원,,서울특별시 동대문구 장안동 303,,,1653.1,,"조합놀이대, 그네, 흔들놀이",,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00007,늘봄,어린이공원,서울특별시 동대문구 장한로26나길 6,서울특별시 동대문구 장안동 343,37.5713224,127.0725893,1659.2,,"조합놀이대, 모래놀이터","화장실, 음수전",,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00008,한내,어린이공원,,서울특별시 동대문구 장안동 348,,,1617.2,,"조합놀이대, 회전놀이, 그네, 흔들놀이, 짚라인, 모래놀이터",음수전,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00009,이삭,어린이공원,,서울특별시 동대문구 전농동 675,,,354.2,,"조합놀이대, 흔들놀이",,,,1978-05-12,서울특별시 동대문구청,02-2127-4776,2021-06-25
11230-00010,쉼터,어린이공원,서울특별시 동대문구 황물로17길 24,서울특별시 동대문구 답십리동 952-5,37.56484697,127.0593171,1695,,"조합놀이대, 흔들놀이, 오르기",음수전,,,1978-06-12,서울특별시 동대문구청,02-2127-4776,2021-06-25
