관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11590-00001,제비,어린이공원,,서울특별시 동작구 대방동 362-11,37.506659,126.925844,1813.9,,,,,,1940-01-15,서울특별시 동작구청,,2021-04-29
11590-00002,상도,근린공원,서울특별시 동작구 성대로6사길27-18,서울특별시 동작구 상도동 산75,37.49321807,126.9384079,359342.8,,,,,,1940-03-02,서울특별시 동작구청,,2021-04-29
11590-00003,노량진,근린공원,,서울특별시 동작구 노량진동 225-291,37.509371,126.943688,413203,,,,,,1940-03-12,서울특별시 동작구청,,2021-04-29
11590-00004,용봉정,근린공원,서울특별시 동작구 현충로2가길17,"서울특별시 동작구 본동 산3-9일대, 흑석동 141-2일대",37.511663,126.958792,80804.2,,,,,,1940-03-12,서울특별시 동작구청,,2021-04-29
11590-00005,현충,근린공원,서울특별시 동작구 사당로23길57-7,서울특별시 동작구 사당동 산24-17,37.48538566,126.9757312,1106402.2,,,,,,1962-12-20,서울특별시 동작구청,,2021-04-29
11590-00006,사육신,역사공원,서울특별시 동작구 노량진로191,서울특별시 동작구 노량진동 155-1,37.51345628,126.9494127,47832,,,,,,1963-04-26,서울특별시 동작구청,,2021-04-29
11590-00007,꿈동산,어린이공원,,서울특별시 동작구 상도동 426,37.503551,126.954296,613.8,,,,,,1963-04-26,서울특별시 동작구청,,2021-04-29
11590-00008,해님,어린이공원,,서울특별시 동작구 상도1동 424,37.501617,126.951273,876,,,,,,1963-04-26,서울특별시 동작구청,,2021-04-29
11590-00009,별님,어린이공원,,서울특별시 동작구 상도4동 211-415,37.498885,126.944953,259,,,,,,1963-04-26,서울특별시 동작구청,,2021-04-29
11590-00010,삼일,근린공원,,서울특별시 동작구 사당동 산32,37.483419,126.966736,36660,,,,,,1968-05-15,서울특별시 동작구청,,2021-04-29
11590-00011,까치,어린이공원,서울특별시 동작구 동작대로9길35(사당),서울특별시 동작구 사당동 1028-1,37.48053895,126.979537,1604.3,,,,,,1970-09-03,서울특별시 동작구청,,2021-04-29
11590-00012,까치산,근린공원,서울특별시 동작구 현충로55,서울특별시 동작구 흑석동141-2일대,37.51066813,126.9627656,384026,,,,,,1971-08-06,서울특별시 동작구청,,2021-04-29
11590-00013,은하수,어린이공원,,서울특별시 동작구 신대방동 492-222외 1,37.494528,126.912513,4726,,,,,,1974-08-29,서울특별시 동작구청,,2021-04-29
11590-00014,장미,어린이공원,,서울특별시 동작구 상도동 380-2,37.493815,126.936031,410.5,,,,,,1975-08-25,서울특별시 동작구청,,2021-04-29
11590-00015,노루,어린이공원,,서울특별시 동작구 사당동 316-23,37.481981,126.974169,337,,,,,,1976-10-23,서울특별시 동작구청,,2021-04-29
11590-00016,새싹,어린이공원,,서울특별시 동작구 사당동 316-33,37.479905,126.973124,780,,,,,,1976-10-28,서울특별시 동작구청,,2021-04-29
11590-00017,꿈돌이,어린이공원,,서울특별시 동작구 사당동 300-26,37.480474,126.970034,761,,,,,,1977-04-20,서울특별시 동작구청,,2021-04-29
11590-00018,동산,어린이공원,,서울특별시 동작구 사당동 1000,37.479616,126.969571,466.1,,,,,,1977-04-20,서울특별시 동작구청,,2021-04-29
11590-00019,토끼,어린이공원,,서울특별시 동작구 사당동 1000-13,37.478284,126.970241,821.7,,,,,,1977-04-20,서울특별시 동작구청,,2021-04-29
11590-00020,참새,어린이공원,,서울특별시 동작구 대방동 414-29 외 5,37.498336,126.921885,2982.7,,,,,,1977-12-09,서울특별시 동작구청,,2021-04-29
11590-00021,양지,어린이공원,,서울특별시 동작구 사당동 316-37,37.480071,126.974021,568,,,,,,1979-10-28,서울특별시 동작구청,,2021-04-29
11590-00022,새벽,어린이공원,서울특별시 동작구 상도로13길11,서울특별시 동작구 상도동 335-141,37.50092249,126.930155,496,,,,,,1979-11-30,서울특별시 동작구청,,2021-04-29
11590-00023,옹달샘,어린이공원,,서울특별시 동작구 상도동 299-193,37.495349,126.929617,445,,,,,,1980-05-03,서울특별시 동작구청,,2021-04-29
11590-00024,동작주차,근린공원,,서울특별시 동작구 동작동 326외 1,37.503828,126.977294,42220,,,,,,1981-04-29,서울특별시 동작구청,,2021-04-29
11590-00025,샛별,어린이공원,,서울특별시 동작구 사당동 1144,37.487568,126.965354,344.7,,,,,,1981-05-05,서울특별시 동작구청,,2021-04-29
11590-00026,반달,어린이공원,,서울특별시 동작구 사당동 233-12,37.483714,126.967932,182,,,,,,1981-05-05,서울특별시 동작구청,,2021-04-29
11590-00027,늘푸른,어린이공원,,서울특별시 동작구 사당동 산32-76,37.482608,126.969174,1503,,,,,,1984-11-20,서울특별시 동작구청,,2021-04-29
11590-00028,본동,어린이공원,,서울특별시 동작구 본동 483,37.511023,126.954241,2195.5,,,,,,1996-01-05,서울특별시 동작구청,,2021-04-29
11590-00029,개나리,어린이공원,,서울특별시 동작구 사당동 1138-1,37.486354,126.965684,454,,,,,,1997-04-01,서울특별시 동작구청,,2021-04-29
11590-00030,청명,어린이공원,,서울특별시 동작구 신대방동 719-1,37.487572,126.907983,1024,,,,,,2002-11-11,서울특별시 동작구청,,2021-04-29
11590-00031,해당화,어린이공원,,서울특별시 동작구 신대방동 719-3,37.486987,126.905905,374,,,,,,2002-11-11,서울특별시 동작구청,,2021-04-29
11590-00032,비계,소공원,,서울특별시 동작구 흑석동 335-7,37.505468,126.966267,298.4,,,,,,2003-12-30,서울특별시 동작구청,,2021-04-29
11590-00033,태양,어린이공원,,서울특별시 동작구 상도동 527-1외 2,37.506795,126.944663,1514.5,,,,,,2005-03-24,서울특별시 동작구청,,2021-04-29
11590-00034,서달,소공원,,서울특별시 동작구 흑석동 339-4,37.501059,126.960027,254.8,,,,,,2005-12-29,서울특별시 동작구청,,2021-04-29
11590-00035,희망,어린이공원,,서울특별시 동작구 동작동 333-3,37.493693,126.980349,2654.3,,,,,,2006-03-16,서울특별시 동작구청,,2021-04-29
11590-00036,남성,소공원,,서울특별시 동작구 사당동 1131-17(영아),37.484811,126.972026,924.1,,,,,,2006-03-23,서울특별시 동작구청,,2021-04-29
11590-00037,충효,소공원,,서울특별시 동작구 본동 494-9,37.513788,126.950109,1081.8,,,,,,2007-03-02,서울특별시 동작구청,,2021-04-29
11590-00038,꿈나무,어린이공원,,서울특별시 동작구 상도동 521-1,37.506795,126.944641,1500,,,,,,2007-09-13,서울특별시 동작구청,,2021-04-29
11590-00039,빙수골,소공원,,서울특별시 동작구 상도동 296-6,37.496881,126.932279,822,,,,,,2007-10-04,서울특별시 동작구청,,2021-04-29
11590-00040,국화원,소공원,"서울특별시 동작구 상도로30길 39(상도동, 상도두산위브아파트)",서울특별시 동작구 상도동 529-1 상도두산위브아파트,37.50479617,126.942298,757,,,,,,2007-11-08,서울특별시 동작구청,,2021-04-29
11590-00041,흐리목,소공원,,서울특별시 동작구 상도동 531-2,37.494617,126.952962,1869.7,,,,,,2007-11-15,서울특별시 동작구청,,2021-04-29
11590-00042,까망돌,어린이공원,,서울특별시 동작구 흑석동 335-10,37.506578,126.964102,1904.5,,,,,,2008-09-11,서울특별시 동작구청,,2021-04-29
11590-00043,해밀,어린이공원,,서울특별시 동작구 사당동 1157-1,37.488467,126.974311,2392,,,,,,2010-04-01,서울특별시 동작구청,,2021-04-29
11590-00044,영도,소공원,,서울특별시 동작구 상도동 535-6,37.503299,126.941042,1737,,,,,,2012-01-12,서울특별시 동작구청,,2021-04-29
11590-00045,나비,소공원,,서울특별시 동작구 상도동 535-3,37.503186,126.943593,564.1,,,,,,2012-01-12,서울특별시 동작구청,,2021-04-29
11590-00046,꽃담길,소공원,,서울특별시 동작구 상도동 25-8,37.505644,126.942102,206,,,,,,2012-05-02,서울특별시 동작구청,,2021-04-29
11590-00047,흑석,소공원,,서울특별시 동작구 흑석동 186-135,37.509385,126.957863,442,,,,,,2012-05-17,서울특별시 동작구청,,2021-04-29
11590-00048,칸나,소공원,서울특별시 동작구 시흥대로596,서울특별시 동작구 신대방동 698,37.48562691,126.9043083,241,,,,,,2012-09-06,서울특별시 동작구청,,2021-04-29
11590-00049,꿈나래,어린이공원,,서울특별시 동작구 상도동 36-1,37.5052677,126.9481801,1720.2,,,,,,2007-09-27,서울특별시 동작구청,,2021-04-29
11590-00050,새빛,소공원,,서울특별시 동작구 사당동 164-1,37.48733571,126.9744112,1680,,,,,,2009-02-05,서울특별시 동작구청,,2021-04-29
11590-00051,까막골,소공원,,서울특별시 동작구 흑석동 231-31,37.5045058,126.9605347,1420.1,,,,,,2008-09-11,서울특별시 동작구청,,2021-04-29
11590-00052,비둘기,어린이공원,,서울특별시 동작구 상도1동 558,37.505903,126.9518335,2114.7,,,,,,1963-04-26,서울특별시 동작구청,,2021-04-29
