관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11440-00001,상암공원,근린공원,,서울특별시 마포구 상암동 산26-39,37.578874,126.883114,161153,,,,,,2000-09-27,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00002,매봉산공원,근린공원,,서울특별시 마포구 상암동 1631,37.572886,126.892089,13137,,,,,,2006-11-16,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00003,구룡공원,근린공원,,서울특별시 마포구 상암동 1583,37.58279034,126.8837149,14287,,,,,,2000-09-27,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00004,와우공원,근린공원,,서울특별시 마포구 창전동3-231 등 59필지,27.551606,126.929047,73590,,,,,,1940-03-12,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00005,부엉이공원,근린공원,,서울특별시 마포구 상암동1735,37.58478822,126.8830892,17640,,,,,,2006-09-07,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00006,성산공원,근린공원,,서울특별시 마포구 성산동산11-1 등 38필지,37.562015,126.909591,103962,,,,,,1966-02-05,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00007,쌍룡산공원,근린공원,,서울특별시 마포구 아현동 768,37.552946,126.950353,5791,,,,,,2005-12-29,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00008,샛터공원,근린공원,,서울특별시 마포구 성산동200-326 등 19필지,37.566233,126.906012,31100,,,,,,1977-07-09,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00009,노고산공원,근린공원,,서울특별시 마포구 대흥동 산1-30등17필지,37.552734,126.942271,528936,,,,,,1940-03-12,서울특별시 마포구,02-3153-9553,2020-05-14
11440-00010,큰더기어린이공원,어린이공원,,서울특별시 마포구 공덕동 470-1,37.550143,126.953133,1949,,,,,,2006-12-28,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00011,공덕역어린이공원,어린이공원,,"서울특별시 마포구 공덕동 467-1,2,3",37.544846,126.95128,2435,,,,,,1985-12-24,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00012,마포어린이공원,어린이공원,,서울특별시 마포구 마포동 350-5,37.53582016,126.943694,2030,,,,,,1984-12-04,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00013,복사꽃어린이공원,어린이공원,,서울특별시 마포구 도화동 533,37.538997,126.9463517,1553,,,,,,1980-05-19,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00014,도화소어린이공원,어린이공원,,서울특별시 마포구 도화동 540,37.541067,126.9453426,1646,,,,,,1985-12-24,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00015,삼개어린이공원,어린이공원,,서울특별시 마포구 도화동 555-1,37.54035817,126.94508,3029,,,,,,1984-12-04,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00016,대흥어린이공원,어린이공원,,서울특별시 마포구 대흥동 660-1,37.543693,126.94354,1486,,,,,,1999-11-20,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00017,현석어린이공원,어린이공원,,서울특별시 마포구 현석동 1-5,37.544319,126.933312,1622,,,,,,2009-06-04,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00018,창전어린이공원,어린이공원,,서울특별시 마포구 창전동 35-28,37.550165,126.929106,1185,,,,,,1940-08-20,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00019,와우어린이공원,어린이공원,,서울특별시 마포구 상수동 72-7,37.54883125,126.925367,2924,,,,,,1961-07-14,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00020,서교어린이공원,어린이공원,,서울특별시 마포구 서교동 391-1,37.55202007,126.915455,1761,,,,,,1960-07-13,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00021,잔다리어린이공원,어린이공원,,서울특별시 마포구 서교동 479-1,37.554569,126.912702,774,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00022,윗잔다리어린이공원,어린이공원,,서울특별시 마포구 동교동 168-1,37.55701305,126.9256552,3251,,,,,,1995-05-20,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00023,동교어린이공원,어린이공원,,서울특별시 마포구 동교동 197-17,37.560087,126.9234345,978,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00024,합정어린이공원,어린이공원,,서울특별시 마포구 서교동 489,37.551803,126.913019,3005,,,,,,2008-12-04,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00025,양화어린이공원,어린이공원,,서울특별시 마포구 합정동 394-1,37.55035465,126.9084445,1388,,,,,,1960-07-13,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00026,한마음어린이공원,어린이공원,,서울특별시 마포구 망원동 381-1,37.55468956,126.9080164,770,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00027,옹달샘어린이공원,어린이공원,,서울특별시 마포구 망원동 408-3,37.55485,126.902013,1134,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00028,두리어린이공원,어린이공원,,서울특별시 마포구 망원2동 436-1,37.560124,126.901229,1007,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00029,망원새싹어린이공원,어린이공원,,서울특별시 마포구 망원2동 509-1,37.559039,126.898507,559,,,,,,2004-08-25,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00030,느티나무어린이공원,어린이공원,,서울특별시 마포구 연남동 563-5,37.55950711,126.918761,993,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00031,은행나무어린이공원,어린이공원,,서울특별시 마포구 연남동 250-1,37.56462924,126.9224169,994,,,,,,1967-01-21,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00032,다솜어린이공원,어린이공원,,서울특별시 마포구 성산동 113-2,37.5622309,126.9154619,975,,,,,,1965-11-08,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00033,뒤뜰어린이공원,어린이공원,,서울특별시 마포구 성산동 588-8,37.563154,126.909348,530,,,,,,1984-12-14,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00034,외주목어린이공원,어린이공원,,서울특별시 마포구 성산동 587-18 일대,37.562772,126.907695,263,,,,,,1980-12-23,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00035,성메어린이공원,어린이공원,,서울특별시 마포구 성산동 667-1,37.568088,126.914754,640,,,,,,2004-11-10,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00036,성황당어린이공원,어린이공원,,서울특별시 마포구 성산동 147-5,37.568996,126.907334,1367,,,,,,1971-05-05,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00037,큰길어린이공원,어린이공원,,서울특별시 마포구 성산동 200-50,37.56775,126.908231,942,,,,,,1970-03-26,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00038,쌍둥이어린이공원,어린이공원,,서울특별시 마포구 성산동 200-335,37.56573,126.906759,905,,,,,,1980-02-02,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00039,성사천어린이공원,어린이공원,,서울특별시 마포구 성산동 199-11,37.565334,126.904856,166,,,,,,1986-04-30,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00040,중동소어린이공원,어린이공원,,서울특별시 마포구 중동 36-27,37.570632,126.9067005,779,,,,,,1985-04-12,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00041,중동어린이공원,어린이공원,,서울특별시 마포구 중동 228,37.568444,126.910444,377,,,,,,1985-04-12,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00042,샘터어린이공원,어린이공원,,서울특별시 마포구 중동 36-34,37.56987,126.906734,123,,,,,,1986-04-30,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00043,개나리어린이공원,어린이공원,,서울특별시 마포구 중동 40-5 일대,37.569866,126.909184,1481,,,,,,1986-04-30,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00044,새누리어린이공원,어린이공원,,서울특별시 마포구 상암동 1619,37.575462,126.898158,2897,,,,,,2000-09-27,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00045,휴암어린이공원,어린이공원,,서울특별시 마포구 상암동 14-5,37.577092,126.895682,921,,,,,,2004-10-09,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00046,부엉바위어린이공원,어린이공원,,서울특별시 마포구 상암동 1636,37.575369,126.892436,1511,,,,,,2000-09-27,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00047,물치어린이공원,어린이공원,,서울특별시 마포구 상암동 1656,37.577609,126.887896,1522,,,,,,2000-09-27,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00048,귀리어린이공원,어린이공원,,서울특별시 마포구 상암동 1681,37.581414,126.880724,1504,,,,,,2000-09-27,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00049,목련어린이공원,어린이공원,,서울특별시 마포구 상암동1742,37.587419,126.880169,1501,,,,,,2006-09-07,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00050,산수유어린이공원,어린이공원,,서울특별시 마포구 상암동1744,37.585402,126.879329,2011,,,,,,2006-09-07,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00051,산딸나무어린이공원,어린이공원,,서울특별시 마포구 상암동1753,37.583562,126.877805,1499,,,,,,2006-09-07,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00052,애오개도담어린이공원,어린이공원,,서울특별시 마포구 아현동 800-6,37.552936,126.960269,3212,,,,,,2006-07-13,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00053,쌍룡산어린이공원,어린이공원,,서울특별시 마포구 아현동 769,37.552166,126.950353,5911,,,,,,2005-12-29,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00054,토정어린이공원,어린이공원,,서울특별시 마포구 용강동 63-2,37.540594,126.943573,2631,,,,,,2008-06-26,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00055,애오개어린이공원,어린이공원,,서울특별시 마포구 아현동 802번지 일대,37.55514,126.957944,1424,,,,,,2010-04-22,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00056,망원어린이공원,어린이공원,,서울특별시 마포구 망원동 458-64,37.5520894,126.9042984,2862,,,,,,2011-02-10,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00057,광흥창어린이공원,어린이공원,,서울특별시 마포구 창전동 26-1,37.549462,126.930847,1353,,,,,,2009-12-10,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00058,신수어린이공원,어린이공원,,서울특별시 마포구 신수동 95-5일원,37.550357,126.933798,3792.2,,,,,,2009-10-29,,02-3153-9554,2020-05-14
11440-00059,공덕소공원,소공원,,서울특별시 마포구 공덕동 475-1일대,37.548495,126.954555,1310,,,,,,1981-11-13,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00060,만리재소공원,소공원,,서울특별시 마포구 신공덕동 176,37.544549,126.95506,883,,,,,,2007-04-12,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00061,단풍소공원,소공원,,서울특별시 마포구 공덕동 470-3,37.548684,126.953369,274,,,,,,2006-12-28,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00062,아현새싹소공원,소공원,,서울특별시 마포구 아현동 786,37.551895,126.954392,613,,,,,,2005-12-29,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00063,아현초록소공원,소공원,,서울특별시 마포구 아현동 776,37.554446,126.953151,1035,,,,,,2005-12-29,서울특별시 마포구,02-3153-9554,2020-05-14
11440-00064,용강나루소공원,소공원,,서울특별시 마포구 용강동 506,37.541796,126.942213,1088,,,,,,2008-06-26,서울특별시 마포구,02-3153-9554,2020-05-14
